Category	RR	CI_low	CI_high	pval	rarevar_case	rarevar_control	case_total	control_total
DEL	1.78760162601626	1.61298724501115	1.98111893520515	0	1144	533	6336	5277
DUP	1.8206024056353	1.64881895045325	2.01028325062244	0	1246	570	6336	5277
