Category	OR	CI_low	CI_high	pval	rarevar_case	rarevar_control	novar_case	novar_control
DEL	1.96101518399585	1.75464438855128	2.19357607886108	1.04890631956785e-34	1144	533	5192	4744
DUP	2.02137569679151	1.8148082218359	2.25341075941131	3.8826617539638e-40	1246	570	5090	4707
