gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
CPOX	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CPPED1	3	7924	8	21189	1.0000e+00	1.0028e+00	1.7129e-01	4.1793e+00
CPQ	4	7923	21	21176	2.6407e-01	5.0909e-01	1.2701e-01	1.5095e+00
CPS1	3	7924	10	21187	1.0000e+00	8.0215e-01	1.4179e-01	3.1165e+00
CPSF1	6	7921	21	21176	6.6905e-01	7.6385e-01	2.5215e-01	1.9575e+00
CPSF2	5	7922	10	21187	5.6980e-01	1.3372e+00	3.5852e-01	4.2955e+00
CPSF3	2	7925	11	21186	5.3450e-01	4.8606e-01	5.2343e-02	2.2279e+00
CPSF4	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CPSF4L	2	7925	6	21191	1.0000e+00	8.9132e-01	8.7956e-02	4.9859e+00
CPSF6	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CPSF7	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CPT1A	2	7925	8	21189	1.0000e+00	6.6846e-01	6.9135e-02	3.3505e+00
CPT1B	3	7924	11	21186	7.7080e-01	7.2920e-01	1.3060e-01	2.7613e+00
CPT1C	4	7923	11	21186	1.0000e+00	9.7234e-01	2.2575e-01	3.2824e+00
CPT2	5	7922	16	21181	1.0000e+00	8.3554e-01	2.3930e-01	2.3879e+00
CPTP	3	7924	4	21193	3.9903e-01	2.0059e+00	2.9378e-01	1.1860e+01
CPVL	5	7922	20	21177	5.0600e-01	6.6833e-01	1.9593e-01	1.8359e+00
CPXCR1	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
CPXM1	10	7917	15	21182	1.7620e-01	1.7836e+00	7.1626e-01	4.2461e+00
CPXM2	4	7923	14	21183	7.9412e-01	7.6391e-01	1.8305e-01	2.4333e+00
CPZ	15	7912	28	21169	3.0253e-01	1.4333e+00	7.1116e-01	2.7783e+00
CR1	2	7925	34	21163	2.1139e-03	1.5709e-01	1.8295e-02	6.1303e-01
CR1L	14	7913	16	21181	2.2865e-02	2.3421e+00	1.0581e+00	5.1236e+00
CR2	10	7917	23	21174	6.9692e-01	1.1628e+00	4.9377e-01	2.5416e+00
CR589904.1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CRABP1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CRABP2	7	7920	12	21185	4.3797e-01	1.5603e+00	5.2027e-01	4.3003e+00
CRACR2A	10	7917	18	21179	2.9605e-01	1.4862e+00	6.1262e-01	3.3974e+00
CRACR2B	3	7924	9	21188	1.0000e+00	8.9131e-01	1.5515e-01	3.5728e+00
CRADD	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CRAMP1	2	7925	8	21189	1.0000e+00	6.6846e-01	6.9135e-02	3.3505e+00
CRAT	4	7923	9	21188	7.5943e-01	1.1885e+00	2.6738e-01	4.2597e+00
CRB1	12	7915	17	21180	9.5861e-02	1.8887e+00	8.2270e-01	4.1987e+00
CRB2	13	7914	24	21173	2.7204e-01	1.4491e+00	6.7728e-01	2.9633e+00
CRB3	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CRBN	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
CRCP	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CREB3	3	7924	15	21182	4.3073e-01	5.3462e-01	9.9183e-02	1.8907e+00
CREB3L1	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
CREB3L2	3	7924	2	21195	1.2826e-01	4.0119e+00	4.5949e-01	4.8037e+01
CREB3L3	7	7920	9	21188	1.5971e-01	2.0808e+00	6.5828e-01	6.2812e+00
CREB3L4	1	7926	7	21190	6.9163e-01	3.8197e-01	8.4770e-03	2.9736e+00
CREB5	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CREBBP	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CREBL2	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CREBRF	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
CREBZF	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CREG1	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
CREG2	6	7921	16	21181	1.0000e+00	1.0028e+00	3.2126e-01	2.6990e+00
CRELD1	6	7921	10	21187	3.9954e-01	1.6048e+00	4.7921e-01	4.8757e+00
CRELD2	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
CREM	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CRH	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CRHBP	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
CRHR1	2	7925	4	21193	6.6646e-01	1.3371e+00	1.2090e-01	9.3321e+00
CRHR2	7	7920	16	21181	8.1473e-01	1.1700e+00	4.0691e-01	3.0072e+00
CRIM1	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
CRIP1	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
CRIP2	0	7927	7	21190	2.0099e-01	0.0000e+00	0.0000e+00	1.8552e+00
CRIP3	4	7923	7	21190	5.0447e-01	1.5283e+00	3.2799e-01	6.0135e+00
CRIPT	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
CRISP1	2	7925	7	21190	1.0000e+00	7.6397e-01	7.7418e-02	4.0135e+00
CRISP2	4	7923	8	21189	7.4573e-01	1.3372e+00	2.9458e-01	4.9929e+00
CRISP3	2	7925	7	21190	1.0000e+00	7.6397e-01	7.7418e-02	4.0135e+00
CRISPLD1	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
CRISPLD2	4	7923	5	21192	2.6678e-01	2.1398e+00	4.2447e-01	9.9453e+00
CRK	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CRKL	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CRLF1	4	7923	8	21189	7.4573e-01	1.3372e+00	2.9458e-01	4.9929e+00
CRLF2	3	7924	14	21183	5.8562e-01	5.7283e-01	1.0551e-01	2.0533e+00
CRLF3	3	7924	2	21195	1.2826e-01	4.0119e+00	4.5949e-01	4.8037e+01
CRLS1	0	7927	8	21189	1.1765e-01	0.0000e+00	0.0000e+00	1.5664e+00
CRNKL1	3	7924	9	21188	1.0000e+00	8.9131e-01	1.5515e-01	3.5728e+00
CRNN	8	7919	16	21181	4.9553e-01	1.3373e+00	4.9533e-01	3.3134e+00
CROCC	23	7904	42	21155	1.6197e-01	1.4657e+00	8.4081e-01	2.4954e+00
CROCC2	13	7914	52	21145	2.1132e-01	6.6800e-01	3.3347e-01	1.2449e+00
CROT	8	7919	17	21180	6.5305e-01	1.2586e+00	4.6991e-01	3.0784e+00
CRP	3	7924	7	21190	7.3748e-01	1.1460e+00	1.9119e-01	5.0216e+00
CRTAC1	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
CRTAM	3	7924	10	21187	1.0000e+00	8.0215e-01	1.4179e-01	3.1165e+00
CRTAP	3	7924	4	21193	3.9903e-01	2.0059e+00	2.9378e-01	1.1860e+01
CRTC1	3	7924	7	21190	7.3748e-01	1.1460e+00	1.9119e-01	5.0216e+00
CRTC2	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CRTC3	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CRX	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CRY1	3	7924	16	21181	3.1475e-01	5.0119e-01	9.3559e-02	1.7516e+00
CRYAB	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
CRYBA1	1	7926	7	21190	6.9163e-01	3.8197e-01	8.4770e-03	2.9736e+00
CRYBA2	5	7922	4	21193	6.8267e-02	3.3437e+00	7.1951e-01	1.6853e+01
CRYBA4	2	7925	13	21184	3.8265e-01	4.1128e-01	4.5049e-02	1.8171e+00
CRYBB1	1	7926	7	21190	6.9163e-01	3.8197e-01	8.4770e-03	2.9736e+00
CRYBB2	3	7924	4	21193	3.9903e-01	2.0059e+00	2.9378e-01	1.1860e+01
CRYBB3	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
CRYBG1	23	7904	34	21163	3.5714e-02	1.8112e+00	1.0180e+00	3.1683e+00
CRYBG2	20	7907	46	21151	5.8053e-01	1.1630e+00	6.5126e-01	2.0072e+00
CRYBG3	16	7911	37	21160	6.4368e-01	1.1566e+00	6.0035e-01	2.1326e+00
CRYGA	4	7923	3	21194	9.2831e-02	3.5665e+00	6.0322e-01	2.4352e+01
CRYGB	3	7924	11	21186	7.7080e-01	7.2920e-01	1.3060e-01	2.7613e+00
CRYGC	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
CRYGD	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
CRYGN	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CRYGS	3	7924	2	21195	1.2826e-01	4.0119e+00	4.5949e-01	4.8037e+01
CRYL1	1	7926	8	21189	4.5964e-01	3.3416e-01	7.5338e-03	2.4932e+00
CRYM	7	7920	7	21190	7.0251e-02	2.6754e+00	8.0050e-01	8.9410e+00
CRYZ	6	7921	17	21180	1.0000e+00	9.4373e-01	3.0456e-01	2.5099e+00
CRYZL1	3	7924	2	21195	1.2826e-01	4.0119e+00	4.5949e-01	4.8037e+01
CS	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
CSAD	3	7924	12	21185	7.7253e-01	6.6842e-01	1.2101e-01	2.4776e+00
CSAG1	3	7924	7	21190	7.3748e-01	1.1460e+00	1.9119e-01	5.0216e+00
CSAG3	1	7926	12	21185	2.0770e-01	2.2274e-01	5.2136e-03	1.5059e+00
CSDC2	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CSDE1	3	7924	3	21194	3.5461e-01	2.6746e+00	3.5815e-01	1.9972e+01
CSE1L	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
CSF1	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CSF1R	2	7925	7	21190	1.0000e+00	7.6397e-01	7.7418e-02	4.0135e+00
CSF2	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CSF2RA	3	7924	17	21180	3.1531e-01	4.7169e-01	8.8539e-02	1.6315e+00
CSF2RB	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
CSF3	3	7924	0	21197	2.0158e-02	Infinity	1.1051e+00	Infinity
CSF3R	3	7924	4	21193	3.9903e-01	2.0059e+00	2.9378e-01	1.1860e+01
