gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
TINAGL1	19	7908	38	21159	2.9910e-01	1.3378e+00	7.2802e-01	2.3806e+00
TINCR	3	7924	17	21180	3.1531e-01	4.7169e-01	8.8539e-02	1.6315e+00
TINF2	12	7915	33	21164	1.0000e+00	9.7232e-01	4.5704e-01	1.9332e+00
TIPARP	19	7908	52	21145	1.0000e+00	9.7698e-01	5.4511e-01	1.6819e+00
TIPIN	7	7920	20	21177	1.0000e+00	9.3585e-01	3.3422e-01	2.3051e+00
TIPRL	7	7920	19	21178	1.0000e+00	9.8515e-01	3.4985e-01	2.4485e+00
TIRAP	10	7917	33	21164	7.3163e-01	8.1008e-01	3.5594e-01	1.6838e+00
TJAP1	10	7917	41	21156	2.7085e-01	6.5180e-01	2.9099e-01	1.3239e+00
TJP1	47	7880	144	21053	4.6307e-01	8.7202e-01	6.1289e-01	1.2212e+00
TJP2	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
TJP3	49	7878	97	21100	9.3065e-02	1.3530e+00	9.3842e-01	1.9287e+00
TK1	10	7917	40	21157	3.3925e-01	6.6812e-01	2.9779e-01	1.3603e+00
TK2	12	7915	23	21174	3.4545e-01	1.3957e+00	6.3259e-01	2.9243e+00
TKFC	23	7904	52	21145	5.1649e-01	1.1832e+00	6.9069e-01	1.9695e+00
TKT	33	7894	82	21115	7.5285e-01	1.0765e+00	6.9530e-01	1.6323e+00
TKTL1	20	7907	66	21131	4.6743e-01	8.0984e-01	4.6466e-01	1.3538e+00
TKTL2	12	7915	53	21144	1.2546e-01	6.0483e-01	2.9405e-01	1.1472e+00
TLCD1	18	7909	31	21166	1.4805e-01	1.5539e+00	8.1804e-01	2.8678e+00
