gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
MRGPRX4	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MRI1	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
MRLN	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MRM1	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
MRM2	1	7926	8	21189	4.5964e-01	3.3416e-01	7.5338e-03	2.4932e+00
MRM3	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
MRNIP	4	7923	13	21184	1.0000e+00	8.2270e-01	1.9536e-01	2.6641e+00
MRO	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
MROH1	4	7923	21	21176	2.6407e-01	5.0909e-01	1.2701e-01	1.5095e+00
MROH2A	16	7911	25	21172	1.1217e-01	1.7128e+00	8.5398e-01	3.3391e+00
MROH2B	15	7912	24	21173	1.4771e-01	1.6725e+00	8.1538e-01	3.3234e+00
MROH6	6	7921	14	21183	8.0266e-01	1.1461e+00	3.6085e-01	3.1761e+00
MROH7	7	7920	22	21175	8.3623e-01	8.5070e-01	3.0683e-01	2.0629e+00
MROH8	3	7924	21	21176	1.6541e-01	3.8181e-01	7.2892e-02	1.2791e+00
MROH9	3	7924	10	21187	1.0000e+00	8.0215e-01	1.4179e-01	3.1165e+00
MRPL1	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MRPL10	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MRPL11	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MRPL13	3	7924	2	21195	1.2826e-01	4.0119e+00	4.5949e-01	4.8037e+01
MRPL15	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MRPL16	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MRPL17	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MRPL18	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MRPL19	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MRPL2	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
MRPL20	3	7924	0	21197	2.0158e-02	Infinity	1.1051e+00	Infinity
MRPL21	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MRPL22	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
MRPL24	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MRPL28	8	7919	8	21189	5.0108e-02	2.6756e+00	8.7501e-01	8.1814e+00
MRPL3	2	7925	1	21196	1.8191e-01	5.3488e+00	2.7841e-01	3.1496e+02
MRPL30	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MRPL32	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MRPL33	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPL34	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPL35	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
MRPL37	3	7924	10	21187	1.0000e+00	8.0215e-01	1.4179e-01	3.1165e+00
MRPL38	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MRPL39	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MRPL4	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
MRPL40	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MRPL41	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MRPL42	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MRPL43	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
MRPL44	0	7927	6	21191	1.9913e-01	0.0000e+00	0.0000e+00	2.2710e+00
MRPL45	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MRPL46	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MRPL47	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
