gene_symbol
ASH1L
SRRM2
STAG1
XPO7
SETD1A
RB1CC1
TRIO
KDM6B
CUL1
FAM120A
DAGLA
GRIN2A
GRIA3
ANKRD12
CACNA1G
HCN4
HERC1
MAGI2
SP4
AKAP11
EIF2S3
ZMYM2
NR3C2
SV2A
PREP
DNM3
FAM178A
SLC22A11
ZNF136
OR4P4
HIST1H1E
MAGEC1
