gene_symbol
MED13
NIPBL
SYNGAP1
GRIN2B
ASH1L
MED13L
KMT2A
CHD2
SCN1A
EHMT1
SUV420H1
PHF21A
DYNC1H1
CHD8
WAC
STXBP1
SATB2
TCF20
DLL1
ARID1B
RFX3
ANK2
ANKRD11
RORB
TLK2
PIK3CA
SMARCC2
POGZ
KMT2C
ADNP
SHANK3
KCNB1
SCN2A
CTNNB1
MBD5
KDM6B
CTCF
ATP2B2
SLC6A1
EBF3
CASKIN1
FOXP1
MEIS2
DSCAM
SKI
ASXL3
DYRK1A
SPAST
SETD5
CUL3
DLG4
VEZF1
AUTS2
NRXN1
PLXNA1
TCF7L2
TAOK1
KCNMA1
NAA15
NF1
ZBTB20
BRSK2
KCNQ3
GABRA1
IRF2BPL
GIGYF1
MED23
AP2S1
PTEN
KDM5B
DEAF1
DNMT3A
