Category	OR	CI_low	CI_high	pval	rarevar_case	rarevar_control	novar_case	novar_control
Constrained Genes (3570)	0.996702300258351	0.987013224023855	1.00648648990774	0.50750015881334	117500	61234	7749	4025
Schizophrenia (32)	0.966153544760656	0.897250161533964	1.04034829089105	0.361678373052539	2007	1079	7749	4025
Autism Spectrum Disorder (72)	1.07700349547431	1.02488137798326	1.13177637352176	0.00337124814130241	4798	2314	7749	4025
Neurodevelopmental Disorder (373)	1.02688026023688	1.00306635100466	1.05125953812328	0.0267069150044172	20772	10507	7749	4025
All genes (19369)	1.00310238844726	0.998387685810258	1.00783935540229	0.197514642000812	507314	262695	7749	4025
