gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
TMC2	7	7693	22	20832	8.3652e-01	8.6162e-01	3.1075e-01	2.0894e+00
TMC3	12	7688	19	20835	1.5633e-01	1.7116e+00	7.5729e-01	3.7157e+00
TMC4	2	7698	9	20845	7.3805e-01	6.0173e-01	6.3254e-02	2.9082e+00
TMC5	7	7693	16	20838	6.4646e-01	1.1850e+00	4.1212e-01	3.0461e+00
TMC6	15	7685	47	20807	6.7043e-01	8.6410e-01	4.4848e-01	1.5739e+00
TMC7	7	7693	27	20827	5.6156e-01	7.0191e-01	2.5794e-01	1.6530e+00
TMC8	12	7688	16	20838	8.4940e-02	2.0329e+00	8.7730e-01	4.5824e+00
TMCC1	3	7697	16	20838	4.3683e-01	5.0761e-01	9.4758e-02	1.7740e+00
TMCC2	13	7687	27	20827	4.7545e-01	1.3045e+00	6.1764e-01	2.6182e+00
TMCC3	11	7689	11	20843	2.6855e-02	2.7106e+00	1.0653e+00	6.8976e+00
TMCO1	5	7695	4	20850	6.5854e-02	3.3865e+00	7.2874e-01	1.7069e+01
TMCO2	0	7700	9	20845	1.2494e-01	0.0000e+00	0.0000e+00	1.3719e+00
TMCO3	7	7693	22	20832	8.3652e-01	8.6162e-01	3.1075e-01	2.0894e+00
TMCO4	6	7694	17	20837	1.0000e+00	9.5587e-01	3.0843e-01	2.5418e+00
TMCO5A	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
TMCO6	3	7697	2	20852	1.2531e-01	4.0634e+00	4.6538e-01	4.8652e+01
TMED10	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
TMED2	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
TMED3	2	7698	16	20838	1.8361e-01	3.3835e-01	3.7736e-02	1.4398e+00
TMED4	1	7699	9	20845	3.0572e-01	3.0083e-01	6.8663e-03	2.1717e+00
TMED5	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
TMED7	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
TMED8	3	7697	8	20846	1.0000e+00	1.0156e+00	1.7349e-01	4.2330e+00
TMED9	4	7696	4	20850	2.2368e-01	2.7091e+00	5.0446e-01	1.4547e+01
TMEFF2	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
TMEM100	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
TMEM101	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
TMEM104	13	7687	28	20826	4.8418e-01	1.2579e+00	5.9780e-01	2.5109e+00
TMEM106B	4	7696	9	20845	7.5782e-01	1.2037e+00	2.7081e-01	4.3143e+00
TMEM108	7	7693	17	20837	8.1906e-01	1.1153e+00	3.9086e-01	2.8312e+00
TMEM11	3	7697	10	20844	1.0000e+00	8.1243e-01	1.4361e-01	3.1566e+00
TMEM114	4	7696	16	20838	6.1846e-01	6.7694e-01	1.6461e-01	2.0993e+00
TMEM116	2	7698	0	20854	7.2712e-02	Infinity	5.0867e-01	Infinity
TMEM117	5	7695	13	20841	1.0000e+00	1.0417e+00	2.9067e-01	3.1149e+00
TMEM119	5	7695	21	20833	5.0801e-01	6.4464e-01	1.8985e-01	1.7574e+00
TMEM120B	0	7700	8	20846	1.1838e-01	0.0000e+00	0.0000e+00	1.5865e+00
TMEM121	7	7693	15	20839	6.3221e-01	1.2641e+00	4.3585e-01	3.2953e+00
TMEM123	3	7697	9	20845	1.0000e+00	9.0274e-01	1.5714e-01	3.6187e+00
TMEM125	8	7692	9	20845	9.5383e-02	2.4088e+00	8.0836e-01	7.0367e+00
TMEM126A	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
TMEM126B	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
TMEM127	3	7697	6	20848	7.0982e-01	1.3543e+00	2.1909e-01	6.3435e+00
TMEM128	4	7696	4	20850	2.2368e-01	2.7091e+00	5.0446e-01	1.4547e+01
TMEM130	3	7697	22	20832	1.1426e-01	3.6905e-01	7.0702e-02	1.2290e+00
TMEM131	21	7679	68	20786	5.5009e-01	8.3595e-01	4.8630e-01	1.3819e+00
TMEM131L	17	7683	61	20793	3.7099e-01	7.5425e-01	4.1271e-01	1.3092e+00
TMEM132A	2	7698	12	20842	3.7751e-01	4.5124e-01	4.9043e-02	2.0276e+00
TMEM132B	20	7680	34	20820	1.2319e-01	1.5946e+00	8.6920e-01	2.8528e+00
TMEM132C	24	7676	55	20799	5.2555e-01	1.1823e+00	6.9942e-01	1.9440e+00
TMEM132D	17	7683	42	20812	7.6930e-01	1.0964e+00	5.8478e-01	1.9692e+00
TMEM132E	13	7687	56	20798	1.3694e-01	6.2807e-01	3.1492e-01	1.1637e+00
TMEM134	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
TMEM135	2	7698	13	20841	3.8192e-01	4.1655e-01	4.5626e-02	1.8405e+00
TMEM136	2	7698	7	20847	1.0000e+00	7.7376e-01	7.8411e-02	4.0649e+00
TMEM138	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
TMEM143	6	7694	13	20841	6.1235e-01	1.2502e+00	3.8949e-01	3.5269e+00
TMEM144	5	7695	12	20842	7.8828e-01	1.1285e+00	3.1138e-01	3.4427e+00
TMEM145	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
TMEM14A	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
TMEM14C	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
TMEM150B	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
TMEM150C	1	7699	6	20848	6.8265e-01	4.5131e-01	9.8142e-03	3.7213e+00
TMEM151A	10	7690	19	20835	4.0205e-01	1.4260e+00	5.9200e-01	3.2247e+00
TMEM154	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
TMEM156	1	7699	13	20841	1.3167e-01	2.0823e-01	4.9029e-03	1.3868e+00
TMEM158	3	7697	14	20840	5.8501e-01	5.8018e-01	1.0686e-01	2.0796e+00
TMEM159	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
TMEM161A	7	7693	18	20836	1.0000e+00	1.0533e+00	3.7168e-01	2.6442e+00
TMEM161B	7	7693	17	20837	8.1906e-01	1.1153e+00	3.9086e-01	2.8312e+00
TMEM163	8	7692	5	20849	9.2481e-03	4.3364e+00	1.2504e+00	1.6856e+01
TMEM164	2	7698	6	20848	1.0000e+00	9.0275e-01	8.9083e-02	5.0498e+00
TMEM165	2	7698	1	20853	1.7893e-01	5.4174e+00	2.8198e-01	3.1899e+02
TMEM168	4	7696	28	20826	7.2863e-02	3.8656e-01	9.8483e-02	1.1056e+00
TMEM169	2	7698	11	20843	5.3425e-01	4.9228e-01	5.3014e-02	2.2565e+00
TMEM17	2	7698	2	20852	2.9529e-01	2.7086e+00	1.9630e-01	3.7374e+01
TMEM170B	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
TMEM171	5	7695	6	20848	1.8013e-01	2.2577e+00	5.4488e-01	8.8811e+00
TMEM173	7	7693	8	20846	1.3975e-01	2.3710e+00	7.3163e-01	7.4835e+00
TMEM174	2	7698	8	20846	1.0000e+00	6.7703e-01	7.0021e-02	3.3935e+00
TMEM175	3	7697	7	20847	7.3510e-01	1.1607e+00	1.9364e-01	5.0861e+00
TMEM176A	3	7697	16	20838	4.3683e-01	5.0761e-01	9.4758e-02	1.7740e+00
TMEM176B	4	7696	6	20848	4.7425e-01	1.8059e+00	3.7473e-01	7.6177e+00
TMEM177	4	7696	4	20850	2.2368e-01	2.7091e+00	5.0446e-01	1.4547e+01
TMEM178A	2	7698	22	20832	3.8644e-02	2.4601e-01	2.8034e-02	1.0012e+00
TMEM178B	3	7697	19	20835	2.2849e-01	4.2740e-01	8.0982e-02	1.4526e+00
TMEM179	0	7700	8	20846	1.1838e-01	0.0000e+00	0.0000e+00	1.5865e+00
TMEM18	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
TMEM181	10	7690	21	20833	5.4385e-01	1.2900e+00	5.4217e-01	2.8637e+00
TMEM182	2	7698	8	20846	1.0000e+00	6.7703e-01	7.0021e-02	3.3935e+00
TMEM183A	3	7697	13	20841	5.8185e-01	6.2483e-01	1.1421e-01	2.2747e+00
TMEM184A	1	7699	9	20845	3.0572e-01	3.0083e-01	6.8663e-03	2.1717e+00
TMEM184B	5	7695	11	20843	7.7831e-01	1.2312e+00	3.3524e-01	3.8453e+00
TMEM184C	0	7700	6	20848	2.0065e-01	0.0000e+00	0.0000e+00	2.3001e+00
TMEM185A	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
TMEM185B	7	7693	5	20849	2.1702e-02	3.7939e+00	1.0362e+00	1.5169e+01
TMEM189	6	7694	10	20844	3.9715e-01	1.6254e+00	4.8533e-01	4.9383e+00
TMEM189-UBE2V1	3	7697	4	20850	3.9619e-01	2.0317e+00	2.9755e-01	1.2012e+01
TMEM192	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
TMEM196	3	7697	9	20845	1.0000e+00	9.0274e-01	1.5714e-01	3.6187e+00
TMEM200A	7	7693	21	20833	1.0000e+00	9.0269e-01	3.2404e-01	2.2052e+00
TMEM201	14	7686	32	20822	6.1844e-01	1.1852e+00	5.8400e-01	2.2864e+00
TMEM202	1	7699	10	20844	3.0817e-01	2.7073e-01	6.2414e-03	1.9037e+00
TMEM206	5	7695	13	20841	1.0000e+00	1.0417e+00	2.9067e-01	3.1149e+00
TMEM207	1	7699	6	20848	6.8265e-01	4.5131e-01	9.8142e-03	3.7213e+00
TMEM209	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
TMEM211	2	7698	9	20845	7.3805e-01	6.0173e-01	6.3254e-02	2.9082e+00
TMEM212	2	7698	8	20846	1.0000e+00	6.7703e-01	7.0021e-02	3.3935e+00
TMEM214	8	7692	17	20837	6.5185e-01	1.2748e+00	4.7594e-01	3.1181e+00
TMEM215	7	7693	13	20841	4.5058e-01	1.4587e+00	4.9263e-01	3.9352e+00
TMEM216	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
TMEM217	3	7697	9	20845	1.0000e+00	9.0274e-01	1.5714e-01	3.6187e+00
TMEM218	2	7698	6	20848	1.0000e+00	9.0275e-01	8.9083e-02	5.0498e+00
TMEM219	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
TMEM222	4	7696	6	20848	4.7425e-01	1.8059e+00	3.7473e-01	7.6177e+00
TMEM225	6	7694	6	20848	9.8612e-02	2.7095e+00	7.2412e-01	1.0139e+01
TMEM229B	8	7692	12	20842	2.0841e-01	1.8063e+00	6.4020e-01	4.8079e+00
TMEM230	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
TMEM232	6	7694	13	20841	6.1235e-01	1.2502e+00	3.8949e-01	3.5269e+00
TMEM233	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
TMEM235	8	7692	8	20846	4.8243e-02	2.7100e+00	8.8625e-01	8.2865e+00
TMEM236	6	7694	12	20842	5.9564e-01	1.3544e+00	4.1692e-01	3.9011e+00
TMEM237	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
TMEM241	7	7693	10	20844	1.8244e-01	1.8965e+00	6.1247e-01	5.5220e+00
TMEM242	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
TMEM244	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
TMEM245	17	7683	32	20822	2.5835e-01	1.4397e+00	7.4939e-01	2.6729e+00
TMEM246	7	7693	13	20841	4.5058e-01	1.4587e+00	4.9263e-01	3.9352e+00
TMEM248	5	7695	16	20838	1.0000e+00	8.4626e-01	2.4237e-01	2.4185e+00
TMEM250	3	7697	16	20838	4.3683e-01	5.0761e-01	9.4758e-02	1.7740e+00
TMEM253	5	7695	3	20851	3.7464e-02	4.5158e+00	8.7838e-01	2.9101e+01
TMEM254	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
TMEM255A	3	7697	6	20848	7.0982e-01	1.3543e+00	2.1909e-01	6.3435e+00
TMEM255B	7	7693	12	20842	3.1235e-01	1.5803e+00	5.2695e-01	4.3556e+00
TMEM256	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
TMEM26	5	7695	16	20838	1.0000e+00	8.4626e-01	2.4237e-01	2.4185e+00
TMEM260	5	7695	17	20837	8.1195e-01	7.9644e-01	2.2964e-01	2.2499e+00
TMEM263	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
TMEM266	7	7693	26	20828	5.5849e-01	7.2894e-01	2.6703e-01	1.7252e+00
TMEM267	2	7698	5	20849	1.0000e+00	1.0834e+00	1.0312e-01	6.6190e+00
TMEM268	1	7699	12	20842	2.0685e-01	2.2559e-01	5.2804e-03	1.5252e+00
TMEM269	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
TMEM270	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
TMEM273	2	7698	2	20852	2.9529e-01	2.7086e+00	1.9630e-01	3.7374e+01
TMEM30A	3	7697	7	20847	7.3510e-01	1.1607e+00	1.9364e-01	5.0861e+00
TMEM30B	6	7694	16	20838	1.0000e+00	1.0156e+00	3.2539e-01	2.7336e+00
TMEM33	3	7697	9	20845	1.0000e+00	9.0274e-01	1.5714e-01	3.6187e+00
TMEM35A	0	7700	8	20846	1.1838e-01	0.0000e+00	0.0000e+00	1.5865e+00
TMEM38A	5	7695	18	20836	8.1418e-01	7.5217e-01	2.1822e-01	2.1030e+00
TMEM38B	1	7699	10	20844	3.0817e-01	2.7073e-01	6.2414e-03	1.9037e+00
TMEM39A	2	7698	12	20842	3.7751e-01	4.5124e-01	4.9043e-02	2.0276e+00
TMEM39B	3	7697	11	20843	7.7141e-01	7.3855e-01	1.3228e-01	2.7967e+00
TMEM40	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
TMEM41A	4	7696	10	20844	1.0000e+00	1.0834e+00	2.4794e-01	3.7575e+00
TMEM41B	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
TMEM44	7	7693	23	20831	8.3719e-01	8.2412e-01	2.9851e-01	1.9847e+00
TMEM45A	9	7691	16	20838	3.6584e-01	1.5240e+00	5.9333e-01	3.6642e+00
TMEM45B	4	7696	10	20844	1.0000e+00	1.0834e+00	2.4794e-01	3.7575e+00
TMEM47	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
TMEM50A	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
TMEM50B	3	7697	8	20846	1.0000e+00	1.0156e+00	1.7349e-01	4.2330e+00
TMEM51	2	7698	7	20847	1.0000e+00	7.7376e-01	7.8411e-02	4.0649e+00
TMEM52B	4	7696	5	20849	2.6339e-01	2.1672e+00	4.2992e-01	1.0073e+01
TMEM53	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
TMEM56	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
TMEM59	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
TMEM59L	4	7696	19	20835	3.5681e-01	5.6994e-01	1.4099e-01	1.7158e+00
TMEM63A	10	7690	24	20830	7.0304e-01	1.1286e+00	4.8146e-01	2.4499e+00
TMEM63B	12	7688	32	20822	1.0000e+00	1.0156e+00	4.7609e-01	2.0270e+00
TMEM63C	12	7688	25	20829	4.6027e-01	1.3005e+00	5.9496e-01	2.6878e+00
TMEM64	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
TMEM65	5	7695	12	20842	7.8828e-01	1.1285e+00	3.1138e-01	3.4427e+00
TMEM67	10	7690	22	20832	5.5505e-01	1.2314e+00	5.2030e-01	2.7113e+00
TMEM68	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
TMEM71	3	7697	7	20847	7.3510e-01	1.1607e+00	1.9364e-01	5.0861e+00
TMEM72	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
TMEM74	1	7699	11	20843	2.0061e-01	2.4611e-01	5.7208e-03	1.6939e+00
TMEM74B	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
TMEM80	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
TMEM87A	3	7697	12	20842	7.7234e-01	6.7698e-01	1.2256e-01	2.5094e+00
TMEM87B	4	7696	11	20843	1.0000e+00	9.8483e-01	2.2864e-01	3.3248e+00
TMEM8A	6	7694	21	20833	6.6975e-01	7.7364e-01	2.5538e-01	1.9826e+00
TMEM8B	9	7691	18	20836	5.1475e-01	1.3546e+00	5.3581e-01	3.1767e+00
TMEM9	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
TMEM92	4	7696	9	20845	7.5782e-01	1.2037e+00	2.7081e-01	4.3143e+00
TMEM94	9	7691	32	20822	5.9761e-01	7.6145e-01	3.1952e-01	1.6333e+00
TMEM97	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
TMEM98	1	7699	11	20843	2.0061e-01	2.4611e-01	5.7208e-03	1.6939e+00
TMEM9B	6	7694	3	20851	1.4752e-02	5.4197e+00	1.1571e+00	3.3466e+01
TMIE	2	7698	7	20847	1.0000e+00	7.7376e-01	7.8411e-02	4.0649e+00
TMIGD1	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
TMIGD2	2	7698	7	20847	1.0000e+00	7.7376e-01	7.8411e-02	4.0649e+00
TMLHE	0	7700	6	20848	2.0065e-01	0.0000e+00	0.0000e+00	2.3001e+00
TMOD1	1	7699	13	20841	1.3167e-01	2.0823e-01	4.9029e-03	1.3868e+00
TMOD2	1	7699	8	20846	4.5982e-01	3.3844e-01	7.6303e-03	2.5252e+00
TMOD3	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
TMPO	8	7692	29	20825	5.7926e-01	7.4688e-01	2.9490e-01	1.6754e+00
TMPRSS11A	5	7695	14	20840	1.0000e+00	9.6721e-01	2.7255e-01	2.8430e+00
TMPRSS11B	7	7693	9	20845	1.5703e-01	2.1075e+00	6.6672e-01	6.3621e+00
TMPRSS11D	4	7696	13	20841	1.0000e+00	8.3325e-01	1.9786e-01	2.6982e+00
TMPRSS11E	5	7695	13	20841	1.0000e+00	1.0417e+00	2.9067e-01	3.1149e+00
TMPRSS11F	1	7699	11	20843	2.0061e-01	2.4611e-01	5.7208e-03	1.6939e+00
TMPRSS12	5	7695	3	20851	3.7464e-02	4.5158e+00	8.7838e-01	2.9101e+01
TMPRSS13	3	7697	22	20832	1.1426e-01	3.6905e-01	7.0702e-02	1.2290e+00
TMPRSS15	14	7686	26	20828	2.8399e-01	1.4591e+00	7.0390e-01	2.9006e+00
TMPRSS2	10	7690	18	20836	2.9190e-01	1.5052e+00	6.2049e-01	3.4414e+00
