gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
PRDM11	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,0]	[7075,2075,3439,7259]	3.7936e-01	5.3795e-01	9.9488e-01
PRDM12	[5,0,0,1]	[4551,204,801,2055]	[13,0,0,5]	[7064,2075,3439,7254]	6.6083e-01	4.1627e-01	6.1642e-01
PRDM13	[10,0,0,7]	[4546,204,801,2049]	[13,4,2,14]	[7064,2071,3437,7245]	4.6358e-01	4.9595e-01	1.2947e+00
PRDM14	[3,0,1,2]	[4553,204,800,2054]	[6,4,0,9]	[7071,2071,3439,7250]	2.2842e-08	9.9988e-01	8.9348e-01
PRDM15	[13,1,0,7]	[4543,203,801,2049]	[18,8,2,13]	[7059,2067,3437,7246]	6.4408e-01	4.2224e-01	1.2970e+00
PRDM16	[13,0,1,6]	[4543,204,800,2050]	[34,11,6,29]	[7043,2064,3433,7230]	3.2976e+00	6.9381e-02	6.1245e-01
PRDM2	[16,2,2,2]	[4540,202,799,2054]	[24,11,5,25]	[7053,2064,3434,7234]	1.5972e-01	6.8941e-01	8.7430e-01
PRDM5	[5,1,0,0]	[4551,203,801,2056]	[7,5,2,6]	[7070,2070,3437,7253]	4.1153e-02	8.3924e-01	8.0783e-01
PRDM6	[6,1,0,0]	[4550,203,801,2056]	[4,2,0,10]	[7073,2073,3439,7249]	2.6767e-03	9.5874e-01	1.1539e+00
PRDM7	[4,0,0,1]	[4552,204,801,2055]	[6,4,0,6]	[7071,2071,3439,7253]	2.6116e-02	8.7162e-01	7.9662e-01
PRDM8	[12,1,0,6]	[4544,203,801,2050]	[12,4,1,18]	[7065,2071,3438,7241]	9.6570e-01	3.2576e-01	1.3988e+00
PRDM9	[6,1,0,2]	[4550,203,801,2054]	[10,6,0,13]	[7067,2069,3439,7246]	7.1225e-02	7.8956e-01	8.3539e-01
PRDX1	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	4.5347e-01	5.0069e-01	Infinity
PRDX3	[3,0,0,2]	[4553,204,801,2054]	[1,1,0,2]	[7076,2074,3439,7257]	2.2331e+00	1.3508e-01	3.6695e+00
PRDX4	[1,0,0,0]	[4555,204,801,2056]	[2,1,0,3]	[7075,2074,3439,7256]	1.3871e-01	7.0957e-01	3.9627e-01
PRDX6	[1,0,0,1]	[4555,204,801,2055]	[2,1,0,3]	[7075,2074,3439,7256]	8.3818e-02	7.7219e-01	9.0399e-01
PRELID2	[0,0,0,0]	[4556,204,801,2056]	[3,0,0,2]	[7074,2075,3439,7257]	1.1773e+00	2.7791e-01	0.0000e+00
PRELID3A	[2,0,0,0]	[4554,204,801,2056]	[2,1,0,1]	[7075,2074,3439,7258]	1.1770e-01	7.3154e-01	1.1127e+00
PRELID3B	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,1]	[7075,2075,3439,7258]	9.2358e-02	7.6120e-01	7.7615e-01
PRELP	[2,1,0,0]	[4554,203,801,2056]	[8,1,0,7]	[7069,2074,3439,7252]	1.2228e+00	2.6881e-01	4.4596e-01
PREP	[5,0,0,0]	[4551,204,801,2056]	[7,3,0,5]	[7070,2072,3439,7254]	8.2577e-02	7.7383e-01	7.3925e-01
