gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
A1BG	[6,0,0,4]	[4550,204,801,2052]	[11,5,0,7]	[7066,2070,3439,7252]	1.7625e-04	9.8941e-01	1.0742e+00
A1CF	[9,0,0,0]	[4547,204,801,2056]	[13,5,1,9]	[7064,2070,3438,7250]	4.1213e-01	5.2089e-01	7.0937e-01
A2M	[10,0,1,7]	[4546,204,800,2049]	[17,6,2,22]	[7060,2069,3437,7237]	1.4359e-02	9.0462e-01	9.9362e-01
A2ML1	[10,2,0,4]	[4546,202,801,2052]	[10,5,0,21]	[7067,2070,3439,7238]	2.4109e-01	6.2342e-01	1.2253e+00
A3GALT2	[5,2,0,2]	[4551,202,801,2054]	[12,1,0,5]	[7065,2074,3439,7254]	1.4758e-04	9.9031e-01	1.0898e+00
A4GALT	[7,0,0,3]	[4549,204,801,2053]	[5,2,1,9]	[7072,2073,3438,7250]	6.0785e-01	4.3560e-01	1.5303e+00
A4GNT	[2,0,0,2]	[4554,204,801,2054]	[3,3,0,7]	[7074,2072,3439,7252]	2.7578e-02	8.6810e-01	9.2860e-01
AAAS	[6,0,0,0]	[4550,204,801,2056]	[12,2,0,5]	[7065,2073,3439,7254]	6.3281e-01	4.2633e-01	6.0975e-01
AACS	[3,0,0,0]	[4553,204,801,2056]	[11,3,2,13]	[7066,2072,3437,7246]	4.9440e+00	2.6181e-02	2.3299e-01
AADAC	[1,1,0,1]	[4555,203,801,2055]	[11,1,1,7]	[7066,2074,3438,7252]	2.4435e+00	1.1802e-01	3.7459e-01
AADACL2	[2,0,0,0]	[4554,204,801,2056]	[9,0,0,6]	[7068,2075,3439,7253]	2.6882e+00	1.0110e-01	2.5067e-01
AADACL3	[3,0,0,1]	[4553,204,801,2055]	[2,2,0,4]	[7075,2073,3439,7255]	3.0342e-02	8.6172e-01	1.4116e+00
AADACL4	[3,0,0,1]	[4553,204,801,2055]	[3,0,1,1]	[7074,2075,3438,7258]	1.4027e-01	7.0802e-01	1.6439e+00
AADAT	[1,0,0,0]	[4555,204,801,2056]	[6,1,1,6]	[7071,2074,3438,7253]	2.7581e+00	9.6765e-02	1.5380e-01
AAGAB	[0,0,0,4]	[4556,204,801,2052]	[1,0,1,4]	[7076,2075,3438,7255]	7.5348e-01	3.8538e-01	2.1313e+00
AAK1	[15,0,1,2]	[4541,204,800,2054]	[12,3,2,12]	[7065,2072,3437,7247]	9.4483e-01	3.3104e-01	1.4388e+00
AAMDC	[2,0,0,0]	[4554,204,801,2056]	[2,0,1,6]	[7075,2075,3438,7253]	1.5728e-01	6.9168e-01	5.2974e-01
AAMP	[7,1,0,2]	[4549,203,801,2054]	[5,0,0,8]	[7072,2075,3439,7251]	1.3461e+00	2.4596e-01	1.8076e+00
AANAT	[4,0,0,1]	[4552,204,801,2055]	[8,2,1,2]	[7069,2073,3438,7257]	1.4321e-02	9.0474e-01	8.1474e-01
AAR2	[2,1,0,0]	[4554,203,801,2056]	[3,0,1,4]	[7074,2075,3438,7255]	6.8496e-02	7.9354e-01	9.4679e-01
AARD	[0,1,0,1]	[4556,203,801,2055]	[3,1,0,5]	[7074,2074,3439,7254]	1.6648e-02	8.9734e-01	7.1345e-01
AARS	[11,1,1,7]	[4545,203,800,2049]	[16,4,4,16]	[7061,2071,3435,7243]	5.2320e-01	4.6948e-01	1.2717e+00
AARS2	[9,0,0,3]	[4547,204,801,2053]	[16,2,1,18]	[7061,2073,3438,7241]	5.3354e-01	4.6512e-01	7.3613e-01
AARSD1	[6,1,0,4]	[4550,203,801,2052]	[9,0,0,4]	[7068,2075,3439,7255]	1.5267e+00	2.1661e-01	1.7430e+00
AASDH	[6,0,1,3]	[4550,204,800,2053]	[8,3,1,15]	[7069,2072,3438,7244]	2.2678e-02	8.8030e-01	9.8515e-01
AASDHPPT	[1,0,0,0]	[4555,204,801,2056]	[6,1,0,3]	[7071,2074,3439,7256]	1.7545e+00	1.8531e-01	1.9601e-01
AASS	[7,2,0,1]	[4549,202,801,2055]	[9,4,1,8]	[7068,2071,3438,7251]	4.5316e-02	8.3142e-01	1.1752e+00
AATF	[1,0,0,1]	[4555,204,801,2055]	[9,1,1,9]	[7068,2074,3438,7250]	3.5133e+00	6.0878e-02	2.3944e-01
AATK	[22,1,1,14]	[4534,203,800,2042]	[28,12,4,34]	[7049,2063,3435,7225]	1.2420e+00	2.6508e-01	1.2831e+00
ABAT	[5,0,1,1]	[4551,204,800,2055]	[9,1,1,5]	[7068,2074,3438,7254]	1.0685e-02	9.1767e-01	9.4397e-01
ABCA1	[15,2,0,6]	[4541,202,801,2050]	[23,7,8,23]	[7054,2068,3431,7236]	6.3043e-04	9.7997e-01	9.6288e-01
ABCA10	[15,2,1,8]	[4541,202,800,2048]	[6,7,3,18]	[7071,2068,3436,7241]	9.2154e+00	2.3999e-03	2.3993e+00
ABCA12	[19,2,0,13]	[4537,202,801,2043]	[28,9,2,34]	[7049,2066,3437,7225]	5.5232e-01	4.5737e-01	1.1972e+00
ABCA13	[34,2,1,18]	[4522,202,800,2038]	[51,16,5,70]	[7026,2059,3434,7189]	4.7524e-05	9.9450e-01	9.8779e-01
ABCA2	[35,3,0,11]	[4521,201,801,2045]	[59,21,6,58]	[7018,2054,3433,7201]	9.2101e-01	3.3721e-01	8.3632e-01
ABCA3	[24,2,0,10]	[4532,202,801,2046]	[21,11,5,36]	[7056,2064,3434,7223]	1.5473e+00	2.1354e-01	1.3396e+00
ABCA4	[18,0,0,9]	[4538,204,801,2047]	[30,10,3,30]	[7047,2065,3436,7229]	9.6875e-02	7.5561e-01	9.0541e-01
ABCA5	[5,0,0,2]	[4551,204,801,2054]	[16,7,2,21]	[7061,2068,3437,7238]	4.7179e+00	2.9851e-02	3.8581e-01
ABCA6	[5,0,0,4]	[4551,204,801,2052]	[16,4,3,23]	[7061,2071,3436,7236]	3.0216e+00	8.2161e-02	5.0136e-01
ABCA7	[26,2,1,11]	[4530,202,800,2045]	[34,9,3,50]	[7043,2066,3436,7209]	2.4298e-02	8.7613e-01	1.0507e+00
ABCA8	[14,0,0,5]	[4542,204,801,2051]	[13,5,2,21]	[7064,2070,3437,7238]	1.5991e-01	6.8924e-01	1.1769e+00
ABCA9	[11,2,0,10]	[4545,202,801,2046]	[20,7,1,17]	[7057,2068,3438,7242]	9.0004e-01	3.4277e-01	1.3160e+00
ABCB1	[4,2,0,4]	[4552,202,801,2052]	[9,1,0,11]	[7068,2074,3439,7248]	1.1628e-01	7.3311e-01	1.2203e+00
ABCB10	[8,0,0,5]	[4548,204,801,2051]	[13,3,1,17]	[7064,2072,3438,7242]	1.5595e-04	9.9004e-01	9.4206e-01
ABCB11	[12,1,0,6]	[4544,203,801,2050]	[12,7,5,23]	[7065,2068,3434,7236]	8.9250e-02	7.6513e-01	1.1360e+00
ABCB4	[6,1,0,7]	[4550,203,801,2049]	[11,7,3,15]	[7066,2068,3436,7244]	5.5402e-02	8.1392e-01	1.1369e+00
ABCB5	[10,0,0,5]	[4546,204,801,2051]	[24,7,2,13]	[7053,2068,3437,7246]	6.4785e-01	4.2088e-01	7.5137e-01
ABCB6	[5,1,0,3]	[4551,203,801,2053]	[11,7,0,17]	[7066,2068,3439,7242]	4.5599e-01	4.9951e-01	7.2367e-01
ABCB7	[4,0,0,1]	[4552,204,801,2055]	[5,3,0,9]	[7072,2072,3439,7250]	6.1023e-02	8.0489e-01	7.6238e-01
ABCB8	[4,1,0,1]	[4552,203,801,2055]	[11,1,2,16]	[7066,2074,3437,7243]	1.9503e+00	1.6255e-01	4.9599e-01
ABCB9	[12,1,0,4]	[4544,203,801,2052]	[9,5,0,17]	[7068,2070,3439,7242]	1.0598e+00	3.0326e-01	1.4676e+00
ABCC1	[19,0,0,13]	[4537,204,801,2043]	[16,8,3,25]	[7061,2067,3436,7234]	4.1402e+00	4.1876e-02	1.6629e+00
ABCC10	[17,0,0,6]	[4539,204,801,2050]	[23,7,2,28]	[7054,2068,3437,7231]	2.8094e-02	8.6689e-01	9.2722e-01
ABCC11	[9,3,0,6]	[4547,201,801,2050]	[14,6,1,23]	[7063,2069,3438,7236]	1.0620e-01	7.4451e-01	1.1419e+00
ABCC12	[14,1,1,6]	[4542,203,800,2050]	[21,4,1,16]	[7056,2071,3438,7243]	3.4813e-01	5.5517e-01	1.2129e+00
ABCC2	[14,1,1,6]	[4542,203,800,2050]	[16,8,2,13]	[7061,2067,3437,7246]	1.5119e+00	2.1885e-01	1.4594e+00
ABCC3	[8,0,0,9]	[4548,204,801,2047]	[22,6,1,18]	[7055,2069,3438,7241]	7.0451e-02	7.9068e-01	8.9198e-01
ABCC4	[6,0,0,6]	[4550,204,801,2050]	[11,6,5,19]	[7066,2069,3434,7240]	1.3977e-01	7.0851e-01	8.3367e-01
ABCC5	[13,1,2,4]	[4543,203,799,2052]	[16,8,3,25]	[7061,2067,3436,7234]	5.7168e-06	9.9809e-01	1.0377e+00
ABCC6	[17,2,0,4]	[4539,202,801,2052]	[20,7,2,19]	[7057,2068,3437,7240]	2.2215e-01	6.3740e-01	1.1732e+00
ABCC8	[20,0,2,7]	[4536,204,799,2049]	[22,4,3,28]	[7055,2071,3436,7231]	5.3569e-01	4.6422e-01	1.2250e+00
ABCC9	[11,0,0,2]	[4545,204,801,2054]	[11,4,1,14]	[7066,2071,3438,7245]	4.4794e-03	9.4664e-01	1.0385e+00
ABCD1	[5,0,0,4]	[4551,204,801,2052]	[9,4,1,8]	[7068,2071,3438,7251]	5.4332e-03	9.4124e-01	1.0551e+00
ABCD2	[5,0,2,2]	[4551,204,799,2054]	[4,1,0,11]	[7073,2074,3439,7248]	5.6355e-01	4.5283e-01	1.5242e+00
ABCD3	[4,0,0,7]	[4552,204,801,2049]	[6,3,1,4]	[7071,2072,3438,7255]	2.9297e+00	8.6963e-02	2.1392e+00
ABCD4	[5,0,0,0]	[4551,204,801,2056]	[11,3,2,7]	[7066,2072,3437,7252]	1.5731e+00	2.0976e-01	4.6762e-01
ABCE1	[3,1,1,0]	[4553,203,800,2056]	[3,3,0,9]	[7074,2072,3439,7250]	4.2532e-02	8.3661e-01	1.0340e+00
ABCF1	[1,1,0,2]	[4555,203,801,2054]	[8,4,0,9]	[7069,2071,3439,7250]	8.1337e-01	3.6713e-01	5.6146e-01
ABCF2	[4,0,1,1]	[4552,204,800,2055]	[5,3,2,5]	[7072,2072,3437,7254]	8.7681e-03	9.2540e-01	1.0852e+00
ABCF3	[7,0,0,2]	[4549,204,801,2054]	[6,0,0,6]	[7071,2075,3439,7253]	6.0392e-01	4.3709e-01	1.5840e+00
ABCG1	[8,1,0,2]	[4548,203,801,2054]	[9,4,1,14]	[7068,2071,3438,7245]	1.4450e-02	9.0432e-01	1.0243e+00
ABCG2	[6,1,0,2]	[4550,203,801,2054]	[6,4,0,12]	[7071,2071,3439,7247]	1.2170e-02	9.1216e-01	1.1426e+00
ABCG4	[9,1,1,2]	[4547,203,800,2054]	[7,1,0,11]	[7070,2074,3439,7248]	1.4125e+00	2.3465e-01	1.6659e+00
ABCG5	[4,0,1,1]	[4552,204,800,2055]	[7,7,3,11]	[7070,2068,3436,7248]	5.7694e-01	4.4751e-01	6.3215e-01
ABCG8	[6,1,0,0]	[4550,203,801,2056]	[8,5,1,9]	[7069,2070,3438,7250]	8.7632e-02	7.6721e-01	7.9208e-01
ABHD1	[2,0,0,2]	[4554,204,801,2054]	[4,0,0,8]	[7073,2075,3439,7251]	1.0345e-03	9.7434e-01	8.3271e-01
ABHD10	[4,1,0,1]	[4552,203,801,2055]	[1,5,0,2]	[7076,2070,3439,7257]	2.5003e+00	1.1382e-01	3.2244e+00
ABHD11	[2,0,0,1]	[4554,204,801,2055]	[5,4,2,5]	[7072,2071,3437,7254]	5.0879e-01	4.7566e-01	5.2540e-01
ABHD12	[2,0,0,1]	[4554,204,801,2055]	[8,1,2,4]	[7069,2074,3437,7255]	1.0886e+00	2.9678e-01	4.4497e-01
ABHD12B	[1,0,1,2]	[4555,204,800,2054]	[5,2,0,1]	[7072,2073,3439,7258]	6.3725e-03	9.3637e-01	1.2630e+00
ABHD13	[7,0,0,3]	[4549,204,801,2053]	[2,1,1,4]	[7075,2074,3438,7255]	4.8137e+00	2.8235e-02	3.3952e+00
ABHD14A	[7,0,0,2]	[4549,204,801,2054]	[2,2,1,4]	[7075,2073,3438,7255]	3.0878e+00	7.8884e-02	2.8616e+00
ABHD14A-ACY1	[4,0,0,2]	[4552,204,801,2054]	[4,1,0,3]	[7073,2074,3439,7256]	4.8406e-01	4.8659e-01	1.7226e+00
ABHD14B	[1,0,0,0]	[4555,204,801,2056]	[0,0,1,1]	[7077,2075,3438,7258]	1.6108e-01	6.8816e-01	1.4851e+00
ABHD15	[0,0,0,3]	[4556,204,801,2053]	[8,1,1,9]	[7069,2074,3438,7250]	1.5602e+00	2.1164e-01	4.3278e-01
ABHD16A	[2,0,0,1]	[4554,204,801,2055]	[7,1,0,6]	[7070,2074,3439,7253]	8.0331e-01	3.7010e-01	4.8011e-01
ABHD16B	[8,0,1,1]	[4548,204,800,2055]	[18,0,2,7]	[7059,2075,3437,7252]	5.0665e-01	4.7659e-01	7.1924e-01
ABHD17A	[6,0,0,0]	[4550,204,801,2056]	[5,4,0,10]	[7072,2071,3439,7249]	2.9893e-02	8.6273e-01	8.0682e-01
ABHD17B	[2,0,0,1]	[4554,204,801,2055]	[2,1,0,8]	[7075,2074,3439,7251]	7.8747e-03	9.2929e-01	7.5636e-01
ABHD17C	[7,1,0,4]	[4549,203,801,2052]	[7,3,1,4]	[7070,2072,3438,7255]	2.6460e+00	1.0381e-01	2.0318e+00
ABHD18	[2,0,0,1]	[4554,204,801,2055]	[5,1,0,3]	[7072,2074,3439,7256]	1.8780e-02	8.9100e-01	7.3644e-01
ABHD2	[3,0,0,1]	[4553,204,801,2055]	[7,0,1,11]	[7070,2075,3438,7248]	1.1055e+00	2.9306e-01	4.8575e-01
ABHD3	[3,0,0,2]	[4553,204,801,2054]	[3,0,0,3]	[7074,2075,3439,7256]	4.7857e-01	4.8907e-01	1.8425e+00
ABHD4	[3,0,0,0]	[4553,204,801,2056]	[2,3,3,4]	[7075,2072,3436,7255]	1.2047e-02	9.1260e-01	7.2955e-01
ABHD5	[1,0,0,3]	[4555,204,801,2053]	[8,0,2,4]	[7069,2075,3437,7255]	2.4588e-01	6.1999e-01	6.7038e-01
ABHD6	[2,0,0,1]	[4554,204,801,2055]	[1,2,0,8]	[7076,2073,3439,7251]	1.0503e-02	9.1837e-01	8.5423e-01
ABHD8	[6,1,0,2]	[4550,203,801,2054]	[6,2,4,11]	[7071,2073,3435,7248]	1.4634e-03	9.6948e-01	1.0713e+00
ABI1	[3,0,0,0]	[4553,204,801,2056]	[5,3,2,7]	[7072,2072,3437,7252]	9.0986e-01	3.4015e-01	4.3964e-01
ABI2	[6,1,0,2]	[4550,203,801,2054]	[4,4,0,6]	[7073,2071,3439,7253]	1.3497e+00	2.4534e-01	1.8848e+00
ABI3	[5,0,0,2]	[4551,204,801,2054]	[4,2,0,4]	[7073,2073,3439,7255]	6.4915e-01	4.2042e-01	1.7509e+00
ABI3BP	[5,0,0,2]	[4551,204,801,2054]	[11,4,0,15]	[7066,2071,3439,7244]	1.1734e+00	2.7870e-01	5.7628e-01
ABL1	[15,1,0,6]	[4541,203,801,2050]	[20,6,0,28]	[7057,2069,3439,7231]	7.7935e-03	9.2965e-01	1.0111e+00
ABL2	[7,1,0,7]	[4549,203,801,2049]	[15,4,2,16]	[7062,2071,3437,7243]	3.3178e-05	9.9540e-01	1.0476e+00
ABLIM1	[9,0,1,1]	[4547,204,800,2055]	[6,2,1,13]	[7071,2073,3438,7246]	1.4856e-01	6.9991e-01	1.2649e+00
ABLIM2	[5,1,1,4]	[4551,203,800,2052]	[7,6,0,9]	[7070,2069,3439,7250]	7.6998e-01	3.8022e-01	1.4976e+00
ABLIM3	[6,1,0,1]	[4550,203,801,2055]	[8,2,1,10]	[7069,2073,3438,7249]	3.0825e-03	9.5572e-01	9.3540e-01
ABO	[3,0,0,1]	[4553,204,801,2055]	[3,2,1,13]	[7074,2073,3438,7246]	4.1220e-01	5.2085e-01	5.9006e-01
ABR	[5,1,1,5]	[4551,203,800,2051]	[18,6,1,12]	[7059,2069,3438,7247]	1.7259e-01	6.7782e-01	8.3046e-01
ABRA	[3,0,0,1]	[4553,204,801,2055]	[6,0,0,8]	[7071,2075,3439,7251]	2.7718e-01	5.9855e-01	6.3258e-01
ABRACL	[1,0,0,0]	[4555,204,801,2056]	[1,1,0,2]	[7076,2074,3439,7257]	3.8258e-02	8.4493e-01	6.5936e-01
ABRAXAS1	[5,0,0,2]	[4551,204,801,2054]	[6,1,0,4]	[7071,2074,3439,7255]	1.6224e-01	6.8710e-01	1.3851e+00
ABRAXAS2	[7,0,0,0]	[4549,204,801,2056]	[4,2,1,8]	[7073,2073,3438,7251]	7.8638e-04	9.7763e-01	1.1510e+00
ABT1	[5,0,0,3]	[4551,204,801,2053]	[3,3,1,3]	[7074,2072,3438,7256]	2.0044e+00	1.5684e-01	2.3458e+00
ABTB1	[8,1,0,1]	[4548,203,801,2055]	[9,4,0,11]	[7068,2071,3439,7248]	9.9173e-03	9.2067e-01	1.0390e+00
ABTB2	[13,0,0,7]	[4543,204,801,2049]	[12,4,0,14]	[7065,2071,3439,7245]	2.2522e+00	1.3343e-01	1.6420e+00
AC000093.1	[5,0,0,0]	[4551,204,801,2056]	[7,1,1,9]	[7070,2074,3438,7250]	4.6254e-01	4.9644e-01	6.0734e-01
AC000120.2	[0,0,0,0]	[4556,204,801,2056]	[1,0,1,0]	[7076,2075,3438,7259]	1.6577e-02	8.9755e-01	0.0000e+00
AC000120.3	[2,0,0,0]	[4554,204,801,2056]	[2,1,0,3]	[7075,2074,3439,7256]	2.1309e-02	8.8394e-01	7.9262e-01
AC001226.2	[1,1,0,1]	[4555,203,801,2055]	[1,1,0,2]	[7076,2074,3439,7257]	6.6350e-01	4.1533e-01	2.4921e+00
AC002310.4	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,4]	[7075,2075,3439,7255]	1.1203e-01	7.3785e-01	4.6757e-01
AC002985.1	[1,0,0,0]	[4555,204,801,2056]	[0,1,1,2]	[7077,2074,3438,7257]	1.8474e-01	6.6733e-01	8.4509e-01
AC002996.1	[1,0,0,1]	[4555,204,801,2055]	[6,0,1,6]	[7071,2075,3438,7253]	1.2907e+00	2.5591e-01	3.5901e-01
AC003002.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC003002.2	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.7936e-01	5.3795e-01	9.9345e-01
AC003005.1	[1,0,0,1]	[4555,204,801,2055]	[2,1,0,1]	[7075,2074,3439,7258]	3.7179e-02	8.4710e-01	1.2690e+00
AC003006.1	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,1]	[7075,2075,3439,7258]	9.2358e-02	7.6120e-01	7.7615e-01
AC003688.1	[0,0,0,0]	[4556,204,801,2056]	[1,2,0,2]	[7076,2073,3439,7257]	3.5195e-01	5.5301e-01	0.0000e+00
AC004076.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC004080.3	[0,1,0,1]	[4556,203,801,2055]	[1,0,0,2]	[7076,2075,3439,7257]	1.5224e-01	6.9640e-01	2.0286e+00
AC004223.3	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
AC004233.2	[2,0,0,1]	[4554,204,801,2055]	[3,3,1,11]	[7074,2072,3438,7248]	6.7043e-01	4.1290e-01	4.9137e-01
AC004593.3	[3,1,0,2]	[4553,203,801,2054]	[10,5,1,5]	[7067,2070,3438,7254]	1.5060e-01	6.9796e-01	7.5890e-01
AC004687.2	[1,1,0,4]	[4555,203,801,2052]	[6,4,2,9]	[7071,2071,3437,7250]	8.8077e-04	9.7632e-01	9.1389e-01
AC004691.2	[3,1,0,1]	[4553,203,801,2055]	[4,5,4,8]	[7073,2070,3435,7251]	6.2853e-02	8.0204e-01	7.7475e-01
AC004754.1	[9,0,0,5]	[4547,204,801,2051]	[9,3,0,13]	[7068,2072,3439,7246]	6.4057e-01	4.2350e-01	1.4074e+00
AC004832.3	[3,0,0,1]	[4553,204,801,2055]	[8,1,0,7]	[7069,2074,3439,7252]	6.7894e-01	4.0995e-01	5.4598e-01
AC004922.1	[6,1,1,1]	[4550,203,800,2055]	[13,4,0,6]	[7064,2071,3439,7253]	2.3985e-03	9.6094e-01	9.0794e-01
AC004997.1	[6,0,1,4]	[4550,204,800,2052]	[4,4,0,9]	[7073,2071,3439,7250]	1.9698e+00	1.6047e-01	1.9391e+00
AC005020.2	[1,0,0,1]	[4555,204,801,2055]	[1,1,0,1]	[7076,2074,3439,7258]	3.8258e-02	8.4493e-01	1.9773e+00
AC005041.1	[5,0,0,5]	[4551,204,801,2051]	[7,4,2,9]	[7070,2071,3437,7250]	1.6109e-01	6.8816e-01	1.2702e+00
AC005154.5	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,2]	[7076,2074,3439,7257]	2.6907e-01	6.0396e-01	0.0000e+00
AC005258.1	[1,0,0,0]	[4555,204,801,2056]	[7,2,0,1]	[7070,2073,3439,7258]	1.8451e+00	1.7436e-01	1.9351e-01
AC005324.3	[5,0,1,2]	[4551,204,800,2054]	[8,3,0,9]	[7069,2072,3439,7250]	4.2233e-02	8.3718e-01	1.0043e+00
AC005324.4	[3,1,0,0]	[4553,203,801,2056]	[1,2,1,9]	[7076,2073,3438,7250]	8.2708e-02	7.7366e-01	9.9617e-01
AC005520.1	[0,0,0,0]	[4556,204,801,2056]	[4,1,0,3]	[7073,2074,3439,7256]	2.1327e+00	1.4419e-01	0.0000e+00
AC005551.1	[1,0,2,1]	[4555,204,799,2055]	[2,5,1,3]	[7075,2070,3438,7256]	8.0699e-02	7.7635e-01	1.4459e+00
AC005670.2	[6,0,0,2]	[4550,204,801,2054]	[3,1,0,3]	[7074,2074,3439,7256]	2.5097e+00	1.1314e-01	2.7055e+00
AC005697.1	[1,0,0,1]	[4555,204,801,2055]	[3,1,1,1]	[7074,2074,3438,7258]	2.9779e-02	8.6299e-01	8.2886e-01
AC005702.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC005726.1	[4,0,0,3]	[4552,204,801,2053]	[5,1,0,4]	[7072,2074,3439,7255]	5.2438e-01	4.6898e-01	1.6287e+00
AC005779.2	[0,1,0,0]	[4556,203,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	1.4206e-01	7.0624e-01	4.1251e+00
AC005833.1	[3,1,2,1]	[4553,203,799,2055]	[1,2,0,4]	[7076,2073,3439,7255]	4.2886e+00	3.8369e-02	3.5368e+00
AC005837.2	[1,0,0,0]	[4555,204,801,2056]	[5,1,0,0]	[7072,2074,3439,7259]	5.8422e-01	4.4466e-01	2.9694e-01
AC005943.1	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,1]	[7077,2074,3439,7258]	1.4206e-01	7.0624e-01	0.0000e+00
AC006030.1	[2,0,1,2]	[4554,204,800,2054]	[5,0,1,5]	[7072,2075,3438,7254]	8.5059e-03	9.2652e-01	1.1033e+00
AC006059.2	[5,0,0,5]	[4551,204,801,2051]	[4,3,2,10]	[7073,2072,3437,7249]	7.7282e-01	3.7935e-01	1.5706e+00
AC006064.6	[15,0,1,2]	[4541,204,800,2054]	[15,3,2,19]	[7062,2072,3437,7240]	6.8679e-03	9.3395e-01	1.0730e+00
AC006254.1	[0,0,0,0]	[4556,204,801,2056]	[2,1,0,4]	[7075,2074,3439,7255]	1.2657e+00	2.6058e-01	0.0000e+00
AC006486.1	[2,0,0,0]	[4554,204,801,2056]	[1,0,0,2]	[7076,2075,3439,7257]	1.2793e-02	9.0995e-01	1.4606e+00
AC006518.7	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AC006538.2	[1,0,0,2]	[4555,204,801,2054]	[4,2,0,3]	[7073,2073,3439,7256]	3.0342e-02	8.6172e-01	8.9993e-01
AC007040.2	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	5.0970e-02	8.2138e-01	1.7657e+00
AC007192.1	[6,0,1,6]	[4550,204,800,2050]	[18,5,2,11]	[7059,2070,3437,7248]	4.6729e-02	8.2886e-01	8.8664e-01
AC007240.1	[3,1,0,0]	[4553,203,801,2056]	[8,0,1,2]	[7069,2075,3438,7257]	8.7179e-02	7.6779e-01	7.2671e-01
AC007375.1	[1,0,0,0]	[4555,204,801,2056]	[1,0,1,0]	[7076,2075,3438,7259]	3.5410e-01	5.5180e-01	1.0479e+00
AC007846.2	[0,0,0,1]	[4556,204,801,2055]	[3,0,1,1]	[7074,2075,3438,7258]	7.6907e-02	7.8153e-01	4.9176e-01
AC007906.2	[2,0,0,0]	[4554,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	1.2280e-02	9.1176e-01	1.9872e+00
AC007998.2	[2,0,1,0]	[4554,204,800,2056]	[2,1,0,0]	[7075,2074,3439,7259]	3.6127e-01	5.4780e-01	2.3238e+00
AC008012.1	[4,0,0,1]	[4552,204,801,2055]	[4,1,0,2]	[7073,2074,3439,7257]	1.5123e-01	6.9736e-01	1.5321e+00
AC008073.3	[0,0,0,1]	[4556,204,801,2055]	[1,1,0,0]	[7076,2074,3439,7259]	8.2874e-02	7.7344e-01	1.6196e+00
AC008397.1	[1,1,0,0]	[4555,203,801,2056]	[4,2,0,3]	[7073,2073,3439,7256]	7.7526e-02	7.8068e-01	6.3062e-01
AC008397.2	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
AC008403.1	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	1.2793e-02	9.0995e-01	4.9666e-01
AC008481.3	[1,0,0,1]	[4555,204,801,2055]	[3,0,0,5]	[7074,2075,3439,7254]	7.7005e-02	7.8140e-01	6.0887e-01
AC008537.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AC008575.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,2]	[7076,2075,3439,7257]	1.9055e-01	6.6246e-01	0.0000e+00
AC008581.2	[6,1,0,4]	[4550,203,801,2052]	[8,2,0,8]	[7069,2073,3439,7251]	7.8208e-01	3.7651e-01	1.5128e+00
AC008676.3	[2,0,0,0]	[4554,204,801,2056]	[7,4,0,4]	[7070,2071,3439,7255]	1.6265e+00	2.0219e-01	3.0531e-01
AC008687.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AC008695.1	[11,0,0,7]	[4545,204,801,2049]	[13,8,3,21]	[7064,2067,3436,7238]	3.4984e-02	8.5163e-01	1.1036e+00
AC008758.1	[3,0,0,3]	[4553,204,801,2053]	[9,2,0,10]	[7068,2073,3439,7249]	2.9658e-01	5.8603e-01	7.0398e-01
AC008763.2	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
