gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
CHRNB2	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CHRNB3	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CHRNB4	1	7699	0	20854	2.6966e-01	Infinity	6.9444e-02	Infinity
CHRND	6	7694	6	20848	9.8612e-02	2.7095e+00	7.2412e-01	1.0139e+01
CHRNG	2	7698	7	20847	1.0000e+00	7.7376e-01	7.8411e-02	4.0649e+00
CHST1	0	7700	0	20854	NaN	NaN	NaN	NaN
CHST10	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CHST11	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CHST12	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CHST13	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CHST15	0	7700	7	20847	2.0092e-01	0.0000e+00	0.0000e+00	1.8789e+00
CHST2	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
CHST3	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
CHST7	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CHST8	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CHST9	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CHSY1	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CHSY3	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CHTF18	8	7692	30	20824	4.6965e-01	7.2195e-01	2.8585e-01	1.6127e+00
CHTF8	1	7699	0	20854	2.6966e-01	Infinity	6.9444e-02	Infinity
CHTOP	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CHUK	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
CHURC1	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
CHURC1-FNTB	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CIAO1	1	7699	11	20843	2.0061e-01	2.4611e-01	5.7208e-03	1.6939e+00
CIAO2A	2	7698	1	20853	1.7893e-01	5.4174e+00	2.8198e-01	3.1899e+02
CIAO3	2	7698	6	20848	1.0000e+00	9.0275e-01	8.9083e-02	5.0498e+00
CIAPIN1	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CIB2	6	7694	6	20848	9.8612e-02	2.7095e+00	7.2412e-01	1.0139e+01
CIB3	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
CIB4	1	7699	3	20851	1.0000e+00	9.0276e-01	1.7194e-02	1.1246e+01
CIC	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
CIDEA	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CIDEB	4	7696	12	20842	1.0000e+00	9.0272e-01	2.1214e-01	2.9797e+00
CIDEC	1	7699	7	20847	6.9097e-01	3.8680e-01	8.5855e-03	3.0117e+00
CIITA	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CILP	18	7682	15	20839	1.1404e-03	3.2550e+00	1.5484e+00	6.9416e+00
CILP2	5	7695	5	20849	1.4633e-01	2.7093e+00	6.2334e-01	1.1773e+01
CINP	2	7698	2	20852	2.9529e-01	2.7086e+00	1.9630e-01	3.7374e+01
CIP2A	9	7691	17	20837	3.8032e-01	1.4343e+00	5.6312e-01	3.4036e+00
CIR1	4	7696	10	20844	1.0000e+00	1.0834e+00	2.4794e-01	3.7575e+00
CISD1	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CISD2	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CISD3	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CISH	2	7698	5	20849	1.0000e+00	1.0834e+00	1.0312e-01	6.6190e+00
CIT	4	7696	14	20840	7.9444e-01	7.7370e-01	1.8539e-01	2.4646e+00
CIZ1	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CKAP2	4	7696	18	20836	4.7351e-01	6.0162e-01	1.4806e-01	1.8272e+00
CKAP2L	1	7699	9	20845	3.0572e-01	3.0083e-01	6.8663e-03	2.1717e+00
CKAP4	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CKAP5	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CKB	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CKLF	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CKM	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CKMT1A	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CKMT1B	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CKMT2	11	7689	8	20846	6.9085e-03	3.7276e+00	1.3651e+00	1.0677e+01
CLASP1	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CLASP2	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CLASRP	1	7699	7	20847	6.9097e-01	3.8680e-01	8.5855e-03	3.0117e+00
CLBA1	10	7690	18	20836	2.9190e-01	1.5052e+00	6.2049e-01	3.4414e+00
CLC	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CLCA1	6	7694	14	20840	8.0160e-01	1.1608e+00	3.6548e-01	3.2170e+00
CLCA2	8	7692	17	20837	6.5185e-01	1.2748e+00	4.7594e-01	3.1181e+00
CLCA4	5	7695	20	20834	5.0708e-01	6.7690e-01	1.9845e-01	1.8594e+00
CLCN1	5	7695	16	20838	1.0000e+00	8.4626e-01	2.4237e-01	2.4185e+00
CLCN2	7	7693	20	20834	1.0000e+00	9.4787e-01	3.3851e-01	2.3347e+00
CLCN3	3	7697	3	20851	3.5343e-01	2.7089e+00	3.6274e-01	2.0229e+01
CLCN4	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CLCN5	2	7698	1	20853	1.7893e-01	5.4174e+00	2.8198e-01	3.1899e+02
CLCN6	2	7698	5	20849	1.0000e+00	1.0834e+00	1.0312e-01	6.6190e+00
CLCN7	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CLCNKA	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
CLCNKB	9	7691	19	20835	5.2662e-01	1.2832e+00	5.1108e-01	2.9780e+00
CLDN1	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CLDN10	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CLDN15	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CLDN16	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
CLDN17	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CLDN18	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CLDN19	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CLDN2	0	7700	0	20854	NaN	NaN	NaN	NaN
CLDN20	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CLDN22	6	7694	7	20847	1.2615e-01	2.3224e+00	6.4458e-01	8.0730e+00
CLDN23	2	7698	8	20846	1.0000e+00	6.7703e-01	7.0021e-02	3.3935e+00
CLDN25	2	7698	7	20847	1.0000e+00	7.7376e-01	7.8411e-02	4.0649e+00
CLDN3	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CLDN34	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CLDN4	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CLDN6	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
CLDN8	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CLEC10A	5	7695	15	20839	1.0000e+00	9.0271e-01	2.5660e-01	2.6141e+00
CLEC11A	1	7699	7	20847	6.9097e-01	3.8680e-01	8.5855e-03	3.0117e+00
CLEC12A	1	7699	6	20848	6.8265e-01	4.5131e-01	9.8142e-03	3.7213e+00
CLEC14A	9	7691	5	20849	3.7931e-03	4.8792e+00	1.4679e+00	1.8544e+01
CLEC16A	7	7693	3	20851	5.5679e-03	6.3249e+00	1.4432e+00	3.7907e+01
CLEC17A	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CLEC18A	0	7700	8	20846	1.1838e-01	0.0000e+00	0.0000e+00	1.5865e+00
CLEC18B	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CLEC19A	3	7697	1	20853	6.2561e-02	8.1265e+00	6.5244e-01	4.2565e+02
CLEC1A	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
CLEC1B	3	7697	4	20850	3.9619e-01	2.0317e+00	2.9755e-01	1.2012e+01
CLEC20A	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
CLEC2A	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CLEC2B	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CLEC2D	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CLEC2L	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CLEC3B	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CLEC4C	4	7696	12	20842	1.0000e+00	9.0272e-01	2.1214e-01	2.9797e+00
CLEC4D	2	7698	12	20842	3.7751e-01	4.5124e-01	4.9043e-02	2.0276e+00
CLEC4E	2	7698	9	20845	7.3805e-01	6.0173e-01	6.3254e-02	2.9082e+00
CLEC4F	2	7698	11	20843	5.3425e-01	4.9228e-01	5.3014e-02	2.2565e+00
CLEC4G	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CLEC4M	3	7697	4	20850	3.9619e-01	2.0317e+00	2.9755e-01	1.2012e+01
CLEC5A	0	7700	4	20850	5.7978e-01	0.0000e+00	0.0000e+00	4.1025e+00
CLEC6A	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CLEC7A	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
CLEC9A	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CLGN	5	7695	8	20846	3.5541e-01	1.6931e+00	4.3564e-01	5.8724e+00
CLHC1	2	7698	6	20848	1.0000e+00	9.0275e-01	8.9083e-02	5.0498e+00
CLIC1	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
CLIC2	0	7700	0	20854	NaN	NaN	NaN	NaN
CLIC3	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
CLIC5	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CLIC6	3	7697	11	20843	7.7141e-01	7.3855e-01	1.3228e-01	2.7967e+00
CLINT1	1	7699	6	20848	6.8265e-01	4.5131e-01	9.8142e-03	3.7213e+00
CLIP1	4	7696	8	20846	7.4492e-01	1.3543e+00	2.9834e-01	5.0570e+00
CLIP2	3	7697	8	20846	1.0000e+00	1.0156e+00	1.7349e-01	4.2330e+00
CLIP4	1	7699	11	20843	2.0061e-01	2.4611e-01	5.7208e-03	1.6939e+00
CLK1	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CLK2	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CLK3	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CLK4	1	7699	9	20845	3.0572e-01	3.0083e-01	6.8663e-03	2.1717e+00
CLMAT3	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CLMN	1	7699	6	20848	6.8265e-01	4.5131e-01	9.8142e-03	3.7213e+00
CLMP	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CLN8	3	7697	9	20845	1.0000e+00	9.0274e-01	1.5714e-01	3.6187e+00
CLNK	3	7697	8	20846	1.0000e+00	1.0156e+00	1.7349e-01	4.2330e+00
CLNS1A	1	7699	5	20849	1.0000e+00	5.4159e-01	1.1453e-02	4.8414e+00
CLOCK	4	7696	3	20851	9.0116e-02	3.6122e+00	6.1096e-01	2.4665e+01
CLP1	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CLPB	1	7699	6	20848	6.8265e-01	4.5131e-01	9.8142e-03	3.7213e+00
CLPS	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CLPSL1	3	7697	5	20849	4.5188e-01	1.6252e+00	2.5232e-01	8.3557e+00
CLPTM1	2	7698	1	20853	1.7893e-01	5.4174e+00	2.8198e-01	3.1899e+02
CLPTM1L	3	7697	3	20851	3.5343e-01	2.7089e+00	3.6274e-01	2.0229e+01
CLPX	3	7697	4	20850	3.9619e-01	2.0317e+00	2.9755e-01	1.2012e+01
CLRN2	4	7696	6	20848	4.7425e-01	1.8059e+00	3.7473e-01	7.6177e+00
CLRN3	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
CLSPN	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CLSTN1	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CLSTN2	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
CLSTN3	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CLTA	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CLTB	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CLTC	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CLTCL1	19	7681	32	20822	1.1333e-01	1.6095e+00	8.6140e-01	2.9294e+00
CLU	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CLUAP1	1	7699	0	20854	2.6966e-01	Infinity	6.9444e-02	Infinity
CLUH	6	7694	6	20848	9.8612e-02	2.7095e+00	7.2412e-01	1.0139e+01
CLUL1	3	7697	21	20833	1.6459e-01	3.8664e-01	7.3826e-02	1.2955e+00
CLVS2	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CLYBL	6	7694	7	20847	1.2615e-01	2.3224e+00	6.4458e-01	8.0730e+00
CMAS	0	7700	5	20849	3.3307e-01	0.0000e+00	0.0000e+00	2.9556e+00
CMBL	3	7697	4	20850	3.9619e-01	2.0317e+00	2.9755e-01	1.2012e+01
CMC2	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CMC4	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CMIP	0	7700	0	20854	NaN	NaN	NaN	NaN
CMKLR1	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CMPK1	2	7698	1	20853	1.7893e-01	5.4174e+00	2.8198e-01	3.1899e+02
CMPK2	1	7699	8	20846	4.5982e-01	3.3844e-01	7.6303e-03	2.5252e+00
CMSS1	3	7697	6	20848	7.0982e-01	1.3543e+00	2.1909e-01	6.3435e+00
CMTM2	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CMTM3	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CMTM4	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CMTM5	2	7698	10	20844	5.3300e-01	5.4153e-01	5.7685e-02	2.5421e+00
CMTM6	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CMTM7	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CMTM8	1	7699	0	20854	2.6966e-01	Infinity	6.9444e-02	Infinity
CMTR1	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CMTR2	10	7690	17	20837	2.7676e-01	1.5939e+00	6.5190e-01	3.6876e+00
CMYA5	28	7672	61	20793	3.3969e-01	1.2441e+00	7.6496e-01	1.9780e+00
CNBD1	8	7692	19	20835	8.2827e-01	1.1405e+00	4.3173e-01	2.7297e+00
CNBD2	14	7686	22	20832	1.3090e-01	1.7247e+00	8.1566e-01	3.5276e+00
CNBP	0	7700	0	20854	NaN	NaN	NaN	NaN
CNDP1	0	7700	12	20842	4.4711e-02	0.0000e+00	0.0000e+00	9.7444e-01
CNDP2	3	7697	7	20847	7.3510e-01	1.1607e+00	1.9364e-01	5.0861e+00
CNGA1	6	7694	13	20841	6.1235e-01	1.2502e+00	3.8949e-01	3.5269e+00
CNGA2	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CNGA3	3	7697	13	20841	5.8185e-01	6.2483e-01	1.1421e-01	2.2747e+00
CNGA4	7	7693	14	20840	4.7111e-01	1.3545e+00	4.6245e-01	3.5877e+00
CNGB1	14	7686	26	20828	2.8399e-01	1.4591e+00	7.0390e-01	2.9006e+00
CNGB3	9	7691	19	20835	5.2662e-01	1.2832e+00	5.1108e-01	2.9780e+00
CNIH1	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CNKSR1	5	7695	16	20838	1.0000e+00	8.4626e-01	2.4237e-01	2.4185e+00
CNKSR2	1	7699	0	20854	2.6966e-01	Infinity	6.9444e-02	Infinity
CNKSR3	2	7698	4	20850	6.6379e-01	1.3542e+00	1.2245e-01	9.4516e+00
CNMD	3	7697	11	20843	7.7141e-01	7.3855e-01	1.3228e-01	2.7967e+00
CNN1	2	7698	1	20853	1.7893e-01	5.4174e+00	2.8198e-01	3.1899e+02
CNN2	0	7700	0	20854	NaN	NaN	NaN	NaN
CNN3	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CNNM1	4	7696	2	20852	4.8924e-02	5.4186e+00	7.7639e-01	5.9941e+01
CNNM3	3	7697	11	20843	7.7141e-01	7.3855e-01	1.3228e-01	2.7967e+00
CNNM4	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CNOT10	2	7698	3	20851	6.1637e-01	1.8057e+00	1.5078e-01	1.5761e+01
CNOT11	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
CNOT3	0	7700	0	20854	NaN	NaN	NaN	NaN
CNOT4	2	7698	1	20853	1.7893e-01	5.4174e+00	2.8198e-01	3.1899e+02
CNOT6	4	7696	1	20853	2.0727e-02	1.0837e+01	1.0722e+00	5.3222e+02
CNOT6L	1	7699	0	20854	2.6966e-01	Infinity	6.9444e-02	Infinity
CNOT7	0	7700	1	20853	1.0000e+00	0.0000e+00	0.0000e+00	1.0545e+02
CNOT8	1	7699	2	20852	1.0000e+00	1.3542e+00	2.2951e-02	2.6017e+01
CNP	0	7700	3	20851	5.6847e-01	0.0000e+00	0.0000e+00	6.5553e+00
CNPPD1	3	7697	6	20848	7.0982e-01	1.3543e+00	2.1909e-01	6.3435e+00
CNPY3	3	7697	0	20854	1.9604e-02	Infinity	1.1193e+00	Infinity
CNR1	0	7700	2	20852	1.0000e+00	0.0000e+00	0.0000e+00	1.4423e+01
CNR2	4	7696	7	20847	5.0160e-01	1.5479e+00	3.3219e-01	6.0907e+00
CNST	1	7699	4	20850	1.0000e+00	6.7707e-01	1.3750e-02	6.8439e+00
CNTD1	1	7699	1	20853	4.6662e-01	2.7084e+00	3.4500e-02	2.1226e+02
