gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
SPECC1L	[1,0,0,5]	[4555,204,801,2051]	[2,0,0,5]	[7075,2075,3439,7254]	1.8436e+00	1.7454e-01	2.3895e+00
SPEF1	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	4.5347e-01	5.0069e-01	Infinity
SPEF2	[1,0,0,2]	[4555,204,801,2054]	[0,1,0,4]	[7077,2074,3439,7255]	3.5699e-01	5.5018e-01	2.2295e+00
SPEG	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
SPEN	[2,0,0,0]	[4554,204,801,2056]	[1,1,0,1]	[7076,2074,3439,7258]	2.2730e-04	9.8797e-01	1.7337e+00
SPERT	[3,0,0,2]	[4553,204,801,2054]	[3,0,0,1]	[7074,2075,3439,7258]	1.1384e+00	2.8598e-01	2.4254e+00
SPG11	[11,1,1,6]	[4545,203,800,2050]	[15,4,2,22]	[7062,2071,3437,7237]	1.0639e-01	7.4430e-01	1.1419e+00
SPG21	[3,0,0,0]	[4553,204,801,2056]	[3,1,0,4]	[7074,2074,3439,7255]	1.4372e-02	9.0458e-01	8.4987e-01
SPG7	[8,2,0,2]	[4548,202,801,2054]	[13,2,0,12]	[7064,2073,3439,7247]	3.8588e-03	9.5047e-01	1.0414e+00
SPHK1	[1,0,0,1]	[4555,204,801,2055]	[1,2,0,5]	[7076,2073,3439,7254]	2.7247e-02	8.6889e-01	8.2874e-01
SPHKAP	[3,0,0,0]	[4553,204,801,2056]	[5,0,0,2]	[7072,2075,3439,7257]	2.4742e-03	9.6033e-01	7.6042e-01
SPI1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SPIC	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
SPIDR	[2,2,1,2]	[4554,202,800,2054]	[5,2,1,10]	[7072,2073,3438,7249]	3.2074e-02	8.5787e-01	1.1930e+00
SPIN1	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,0]	[7077,2075,3438,7259]	6.3157e-01	4.2678e-01	0.0000e+00
SPIN2A	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
SPIN3	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SPINDOC	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	2.0675e+00	1.5047e-01	0.0000e+00
SPINK1	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,1]	[7076,2074,3439,7258]	8.2874e-02	7.7344e-01	0.0000e+00
SPINK13	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	1.9055e-01	6.6246e-01	1.3781e+00
SPINK14	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SPINK4	[1,0,0,2]	[4555,204,801,2054]	[0,0,0,2]	[7077,2075,3439,7257]	1.6217e+00	2.0285e-01	4.9126e+00
SPINK5	[7,0,0,7]	[4549,204,801,2049]	[10,6,1,9]	[7067,2069,3438,7250]	8.9860e-01	3.4316e-01	1.4662e+00
SPINK6	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
SPINK8	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
SPINT1	[2,1,0,0]	[4554,203,801,2056]	[4,0,1,3]	[7073,2075,3438,7256]	2.0146e-02	8.8713e-01	8.7983e-01
SPINT2	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
SPINT3	[1,0,0,1]	[4555,204,801,2055]	[2,1,0,0]	[7075,2074,3439,7259]	2.2730e-04	9.8797e-01	1.5900e+00
SPINT4	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	6.4018e-01	4.2365e-01	0.0000e+00
SPIRE1	[1,0,0,1]	[4555,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	2.6399e-01	6.0739e-01	3.1445e+00
SPIRE2	[4,0,1,0]	[4552,204,800,2056]	[3,1,2,4]	[7074,2074,3437,7255]	1.6616e-02	8.9743e-01	1.2850e+00
SPNS2	[1,0,0,0]	[4555,204,801,2056]	[2,0,1,1]	[7075,2075,3438,7258]	6.8774e-03	9.3391e-01	5.0990e-01
SPNS3	[2,0,0,2]	[4554,204,801,2054]	[3,0,0,2]	[7074,2075,3439,7257]	2.3109e-01	6.3071e-01	1.7174e+00
SPO11	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,2]	[7076,2075,3439,7257]	2.6399e-01	6.0739e-01	9.3540e-01
SPOCD1	[3,0,0,2]	[4553,204,801,2054]	[5,1,1,4]	[7072,2074,3438,7255]	1.7549e-02	8.9461e-01	1.0847e+00
SPOCK1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
