gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
A1BG	[2,0,0,0]	[4554,204,801,2056]	[4,0,0,0]	[7073,2075,3439,7259]	1.5774e-02	9.0005e-01	7.7657e-01
A1CF	[2,0,0,0]	[4554,204,801,2056]	[6,4,0,4]	[7071,2071,3439,7255]	1.2035e+00	2.7262e-01	3.3865e-01
A2M	[4,1,0,1]	[4552,203,801,2055]	[5,3,1,4]	[7072,2072,3438,7255]	3.0273e-02	8.6187e-01	1.2503e+00
A2ML1	[10,4,0,4]	[4546,200,801,2052]	[21,6,0,24]	[7056,2069,3439,7235]	3.9520e-02	8.4242e-01	9.1325e-01
A3GALT2	[3,0,1,1]	[4553,204,800,2055]	[11,2,0,4]	[7066,2073,3439,7255]	4.6936e-01	4.9328e-01	6.3580e-01
A4GALT	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
A4GNT	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,0]	[7076,2075,3439,7259]	3.0775e-02	8.6074e-01	1.9898e+00
AA06	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AAAS	[3,0,0,2]	[4553,204,801,2054]	[9,3,0,4]	[7068,2072,3439,7255]	1.5203e-01	6.9661e-01	7.2339e-01
AACS	[9,0,0,2]	[4547,204,801,2054]	[9,1,0,5]	[7068,2074,3439,7254]	5.9228e-01	4.4154e-01	1.4917e+00
AADAC	[0,0,0,2]	[4556,204,801,2054]	[3,1,0,7]	[7074,2074,3439,7252]	2.4068e-01	6.2371e-01	5.5451e-01
AADACL2	[3,0,0,1]	[4553,204,801,2055]	[3,1,0,4]	[7074,2074,3439,7255]	7.7927e-04	9.7773e-01	1.2130e+00
AADACL3	[2,0,0,0]	[4554,204,801,2056]	[0,1,1,2]	[7077,2074,3438,7257]	9.4365e-06	9.9755e-01	1.6902e+00
AADACL4	[2,0,0,1]	[4554,204,801,2055]	[3,0,0,5]	[7074,2075,3439,7254]	2.1279e-02	8.8402e-01	8.7594e-01
AADAT	[3,0,0,0]	[4553,204,801,2056]	[0,1,0,2]	[7077,2074,3439,7257]	5.5312e-01	4.5705e-01	3.4374e+00
AAGAB	[1,0,0,3]	[4555,204,801,2053]	[3,2,0,2]	[7074,2073,3439,7257]	2.1441e-01	6.4333e-01	1.6413e+00
AAMDC	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AAMP	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AAR2	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,2]	[7076,2074,3439,7257]	2.6907e-01	6.0396e-01	0.0000e+00
AARD	[3,0,0,1]	[4553,204,801,2055]	[3,1,0,1]	[7074,2074,3439,7258]	2.0674e-01	6.4933e-01	1.7540e+00
AARS	[5,0,0,0]	[4551,204,801,2056]	[3,4,0,1]	[7074,2071,3439,7258]	2.5851e-01	6.1115e-01	1.7350e+00
AARS2	[5,0,0,2]	[4551,204,801,2054]	[6,2,0,13]	[7071,2073,3439,7246]	1.6564e-02	8.9759e-01	8.5204e-01
AARSD1	[3,0,0,0]	[4553,204,801,2056]	[5,1,0,4]	[7072,2074,3439,7255]	1.3712e-01	7.1116e-01	6.2259e-01
AASDH	[7,0,0,8]	[4549,204,801,2048]	[7,3,2,9]	[7070,2072,3437,7250]	3.1360e+00	7.6584e-02	1.9545e+00
AASDHPPT	[2,0,1,2]	[4554,204,800,2054]	[1,1,0,2]	[7076,2074,3439,7257]	2.8597e+00	9.0823e-02	3.8891e+00
AASS	[2,0,0,1]	[4554,204,801,2055]	[4,1,0,9]	[7073,2074,3439,7250]	4.0716e-01	5.2342e-01	5.4776e-01
AATF	[4,0,1,1]	[4552,204,800,2055]	[5,2,0,7]	[7072,2073,3439,7252]	6.5521e-03	9.3549e-01	1.0928e+00
AATK	[5,1,0,0]	[4551,203,801,2056]	[4,1,1,7]	[7073,2074,3438,7252]	1.0572e-03	9.7406e-01	1.1660e+00
ABAT	[1,0,0,0]	[4555,204,801,2056]	[3,0,0,2]	[7074,2075,3439,7257]	1.9902e-01	6.5551e-01	3.7627e-01
ABCA1	[6,0,3,2]	[4550,204,798,2054]	[2,0,1,9]	[7075,2075,3438,7250]	3.9706e+00	4.6303e-02	2.5849e+00
ABCA10	[12,0,1,3]	[4544,204,800,2053]	[26,9,1,10]	[7051,2066,3438,7249]	4.8234e-01	4.8736e-01	7.8020e-01
ABCA12	[2,0,0,6]	[4554,204,801,2050]	[8,2,0,5]	[7069,2073,3439,7254]	2.1512e-01	6.4278e-01	1.3347e+00
ABCA13	[26,3,2,6]	[4530,201,799,2050]	[39,20,7,40]	[7038,2055,3432,7219]	1.3178e-01	7.1660e-01	9.1250e-01
ABCA2	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,4]	[7077,2074,3439,7255]	2.9008e-01	5.9017e-01	0.0000e+00
ABCA3	[4,0,0,2]	[4552,204,801,2054]	[1,0,2,3]	[7076,2075,3437,7256]	1.8011e+00	1.7958e-01	2.7896e+00
ABCA4	[11,0,1,3]	[4545,204,800,2053]	[11,4,0,15]	[7066,2071,3439,7244]	2.1136e-01	6.4571e-01	1.2341e+00
ABCA5	[12,0,0,3]	[4544,204,801,2053]	[20,11,1,8]	[7057,2064,3438,7251]	3.8148e-02	8.4515e-01	8.9449e-01
ABCA6	[12,0,0,3]	[4544,204,801,2053]	[17,4,3,11]	[7060,2071,3436,7248]	1.6109e-03	9.6798e-01	9.6271e-01
ABCA7	[23,3,2,5]	[4533,201,799,2051]	[44,5,2,29]	[7033,2070,3437,7230]	1.2830e-01	7.2020e-01	9.0897e-01
ABCA8	[11,1,0,6]	[4545,203,801,2050]	[18,10,3,21]	[7059,2065,3436,7238]	1.0546e-02	9.1821e-01	9.3376e-01
ABCA9	[10,0,0,2]	[4546,204,801,2054]	[17,4,6,13]	[7060,2071,3433,7246]	8.0827e-01	3.6863e-01	6.9306e-01
ABCB1	[1,0,0,0]	[4555,204,801,2056]	[2,0,1,2]	[7075,2075,3438,7257]	7.6907e-02	7.8153e-01	4.3028e-01
ABCB10	[3,0,1,4]	[4553,204,800,2052]	[11,2,0,4]	[7066,2073,3439,7255]	2.7121e-03	9.5847e-01	1.0714e+00
ABCB11	[3,0,0,1]	[4553,204,801,2055]	[3,1,1,2]	[7074,2074,3438,7257]	2.0146e-02	8.8713e-01	1.3747e+00
ABCB4	[4,0,0,2]	[4552,204,801,2054]	[9,1,0,6]	[7068,2074,3439,7253]	4.3838e-02	8.3416e-01	8.0815e-01
ABCB5	[10,0,0,10]	[4546,204,801,2046]	[13,2,1,13]	[7064,2073,3438,7246]	2.6180e+00	1.0566e-01	1.6681e+00
ABCB6	[6,1,0,2]	[4550,203,801,2054]	[10,6,0,11]	[7067,2069,3439,7248]	1.0406e-02	9.1875e-01	8.8907e-01
ABCB7	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
ABCB8	[0,0,0,1]	[4556,204,801,2055]	[9,1,0,8]	[7068,2074,3439,7251]	4.4594e+00	3.4711e-02	1.4471e-01
ABCB9	[3,0,0,3]	[4553,204,801,2053]	[1,0,2,4]	[7076,2075,3437,7255]	1.6416e+00	2.0010e-01	2.5208e+00
ABCC1	[1,0,0,0]	[4555,204,801,2056]	[3,2,4,11]	[7074,2073,3435,7248]	3.2500e+00	7.1422e-02	1.3402e-01
ABCC10	[9,0,0,2]	[4547,204,801,2054]	[12,2,0,15]	[7065,2073,3439,7244]	5.3246e-02	8.1751e-01	8.5865e-01
ABCC11	[12,1,0,1]	[4544,203,801,2055]	[16,4,5,10]	[7061,2071,3434,7249]	8.4227e-03	9.2688e-01	9.1943e-01
ABCC12	[10,0,3,2]	[4546,204,798,2054]	[15,2,1,10]	[7062,2073,3438,7249]	1.4428e-01	7.0407e-01	1.1927e+00
ABCC2	[12,0,1,2]	[4544,204,800,2054]	[19,5,2,13]	[7058,2070,3437,7246]	8.6342e-02	7.6888e-01	8.6808e-01
ABCC3	[2,0,1,2]	[4554,204,800,2054]	[11,5,2,11]	[7066,2070,3437,7248]	1.9497e+00	1.6261e-01	4.7397e-01
ABCC4	[2,0,0,1]	[4554,204,801,2055]	[2,0,1,5]	[7075,2075,3438,7254]	8.2602e-02	7.7380e-01	9.6154e-01
ABCC5	[0,0,0,1]	[4556,204,801,2055]	[0,0,2,1]	[7077,2075,3437,7258]	1.5674e-01	6.9218e-01	1.3020e+00
ABCC6	[6,0,1,5]	[4550,204,800,2051]	[6,1,3,21]	[7071,2074,3436,7238]	5.8456e-03	9.3906e-01	1.0939e+00
ABCC8	[2,0,0,1]	[4554,204,801,2055]	[5,2,0,9]	[7072,2073,3439,7250]	7.4671e-01	3.8752e-01	4.8380e-01
ABCC9	[1,1,0,6]	[4555,203,801,2050]	[1,4,1,3]	[7076,2071,3438,7256]	6.4877e+00	1.0862e-02	3.8765e+00
ABCD2	[0,1,0,1]	[4556,203,801,2055]	[2,0,0,2]	[7075,2075,3439,7257]	1.1381e-03	9.7309e-01	1.3798e+00
ABCD3	[1,0,0,0]	[4555,204,801,2056]	[0,2,0,3]	[7077,2073,3439,7256]	7.7834e-02	7.8025e-01	7.2321e-01
ABCD4	[1,0,0,0]	[4555,204,801,2056]	[2,1,1,4]	[7075,2074,3438,7255]	4.2714e-01	5.1340e-01	3.1278e-01
ABCE1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
ABCF1	[2,0,0,0]	[4554,204,801,2056]	[2,0,1,1]	[7075,2075,3438,7258]	1.7744e-01	6.7358e-01	1.0199e+00
ABCF2	[1,0,0,1]	[4555,204,801,2055]	[1,1,1,0]	[7076,2074,3438,7259]	5.3593e-02	8.1692e-01	2.0710e+00
ABCF3	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.7936e-01	5.3795e-01	9.9345e-01
ABCG1	[1,0,0,0]	[4555,204,801,2056]	[0,2,0,1]	[7077,2073,3439,7258]	1.4813e-01	7.0033e-01	1.5219e+00
ABCG2	[4,0,0,5]	[4552,204,801,2051]	[8,2,1,8]	[7069,2073,3438,7251]	5.8631e-02	8.0867e-01	1.2021e+00
ABCG4	[2,1,0,0]	[4554,203,801,2056]	[4,1,1,3]	[7073,2074,3438,7256]	6.3725e-03	9.3637e-01	8.4838e-01
ABCG5	[3,0,0,0]	[4553,204,801,2056]	[4,0,4,7]	[7073,2075,3435,7252]	6.8293e-01	4.0858e-01	4.7179e-01
ABCG8	[2,1,0,3]	[4554,203,801,2053]	[3,3,0,6]	[7074,2072,3439,7253]	4.6795e-01	4.9393e-01	1.6141e+00
ABHD1	[6,0,0,1]	[4550,204,801,2055]	[4,0,0,12]	[7073,2075,3439,7247]	1.7703e-02	8.9415e-01	1.0509e+00
ABHD10	[2,0,0,0]	[4554,204,801,2056]	[0,3,0,2]	[7077,2072,3439,7257]	4.2586e-05	9.9479e-01	1.7137e+00
ABHD11	[0,0,0,0]	[4556,204,801,2056]	[1,3,0,0]	[7076,2072,3439,7259]	5.3174e-02	8.1763e-01	0.0000e+00
ABHD12	[3,1,0,1]	[4553,203,801,2055]	[4,1,0,10]	[7073,2074,3439,7249]	6.1743e-03	9.3737e-01	9.0975e-01
ABHD12B	[5,0,1,5]	[4551,204,800,2051]	[6,0,0,7]	[7071,2075,3439,7252]	2.3279e+00	1.2707e-01	1.9912e+00
ABHD13	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	5.0970e-02	8.2138e-01	1.7657e+00
ABHD14A	[2,0,0,1]	[4554,204,801,2055]	[1,1,0,6]	[7076,2074,3439,7253]	4.7904e-02	8.2675e-01	1.1056e+00
ABHD14A-ACY1	[3,1,0,1]	[4553,203,801,2055]	[4,1,0,1]	[7073,2074,3439,7258]	5.9576e-01	4.4020e-01	1.8735e+00
ABHD14B	[0,0,0,0]	[4556,204,801,2056]	[3,1,0,0]	[7074,2074,3439,7259]	7.3400e-01	3.9159e-01	0.0000e+00
ABHD15	[1,0,1,0]	[4555,204,800,2056]	[5,0,2,4]	[7072,2075,3437,7255]	6.5549e-01	4.1816e-01	4.4081e-01
ABHD16A	[1,0,0,0]	[4555,204,801,2056]	[3,1,0,2]	[7074,2074,3439,7257]	2.5905e-01	6.1077e-01	3.5652e-01
ABHD16B	[7,0,0,0]	[4549,204,801,2056]	[7,3,0,8]	[7070,2072,3439,7251]	6.0556e-05	9.9379e-01	8.9158e-01
ABHD17A	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
ABHD17B	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,3]	[7077,2075,3439,7256]	2.6399e-01	6.0739e-01	9.1875e-01
ABHD17C	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
ABHD18	[6,0,1,4]	[4550,204,800,2052]	[4,1,0,4]	[7073,2074,3439,7255]	5.1638e+00	2.3062e-02	2.9878e+00
ABHD2	[3,0,0,0]	[4553,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	6.5596e-03	9.3545e-01	1.4904e+00
ABHD3	[3,0,0,0]	[4553,204,801,2056]	[2,0,0,6]	[7075,2075,3439,7253]	2.1279e-02	8.8402e-01	8.6591e-01
ABHD4	[4,0,0,1]	[4552,204,801,2055]	[3,0,1,3]	[7074,2075,3438,7256]	1.8802e-01	6.6457e-01	1.5861e+00
ABHD5	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,0]	[7076,2074,3439,7259]	1.1103e-03	9.7342e-01	0.0000e+00
ABHD6	[3,0,0,0]	[4553,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	6.5596e-03	9.3545e-01	1.4904e+00
ABI1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
ABI2	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,2]	[7077,2074,3439,7257]	2.2516e-03	9.6215e-01	0.0000e+00
ABI3	[1,0,1,0]	[4555,204,800,2056]	[1,0,1,3]	[7076,2075,3438,7256]	8.0468e-02	7.7666e-01	1.1422e+00
ABI3BP	[1,0,0,1]	[4555,204,801,2055]	[6,1,1,1]	[7071,2074,3438,7258]	4.1157e-01	5.2117e-01	4.8695e-01
ABL1	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,0]	[7076,2074,3439,7259]	1.1103e-03	9.7342e-01	0.0000e+00
ABL2	[1,0,0,1]	[4555,204,801,2055]	[3,2,0,2]	[7074,2073,3439,7257]	5.2144e-03	9.4243e-01	7.7283e-01
ABLIM1	[2,0,0,0]	[4554,204,801,2056]	[1,0,1,2]	[7076,2075,3438,7257]	7.6907e-02	7.8153e-01	1.1906e+00
ABLIM2	[3,0,0,0]	[4553,204,801,2056]	[1,5,0,1]	[7076,2070,3439,7258]	4.5899e-02	8.3036e-01	1.7221e+00
ABLIM3	[2,0,0,0]	[4554,204,801,2056]	[2,0,1,6]	[7075,2075,3438,7253]	1.5728e-01	6.9168e-01	5.2974e-01
ABO	[3,0,0,0]	[4553,204,801,2056]	[0,6,0,0]	[7077,2069,3439,7259]	5.1633e-01	4.7241e-01	3.3981e+00
ABR	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
ABRA	[1,0,0,3]	[4555,204,801,2053]	[1,2,1,3]	[7076,2073,3438,7256]	5.7536e-01	4.4814e-01	2.0730e+00
ABRACL	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
ABRAXAS1	[1,0,2,0]	[4555,204,799,2056]	[7,1,1,6]	[7070,2074,3438,7253]	7.4888e-01	3.8683e-01	5.1332e-01
ABRAXAS2	[0,0,0,2]	[4556,204,801,2054]	[2,0,0,0]	[7075,2075,3439,7259]	9.2358e-02	7.6120e-01	1.9898e+00
ABT1	[2,0,0,1]	[4554,204,801,2055]	[3,0,1,3]	[7074,2075,3438,7256]	1.0871e-01	7.4162e-01	9.8518e-01
ABTB1	[1,0,0,1]	[4555,204,801,2055]	[1,1,1,3]	[7076,2074,3438,7256]	1.4129e-01	7.0700e-01	1.0416e+00
ABTB2	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,2]	[7075,2075,3439,7257]	2.9989e-03	9.5633e-01	6.3623e-01
AC000061.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC000099.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC000120.3	[0,0,0,0]	[4556,204,801,2056]	[1,0,1,1]	[7076,2075,3438,7258]	1.6108e-01	6.8816e-01	0.0000e+00
AC000362.1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
AC001226.2	[1,0,0,1]	[4555,204,801,2055]	[1,0,0,3]	[7076,2075,3439,7256]	2.3716e-02	8.7761e-01	1.3169e+00
AC002059.2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC002094.1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,3]	[7075,2075,3439,7256]	9.0074e-01	3.4258e-01	0.0000e+00
AC002116.1	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,2]	[7076,2075,3439,7257]	9.2358e-02	7.6120e-01	7.3022e-01
AC002310.4	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,2]	[7077,2075,3438,7257]	3.4176e-02	8.5333e-01	0.0000e+00
AC002398.2	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	2.0675e+00	1.5047e-01	0.0000e+00
AC002456.1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
AC002456.2	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC002467.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
AC002470.2	[10,0,0,1]	[4546,204,801,2055]	[12,3,5,3]	[7065,2072,3434,7256]	6.4961e-03	9.3576e-01	1.0438e+00
AC002480.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC002543.1	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	2.0675e+00	1.5047e-01	0.0000e+00
AC002985.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC002996.1	[2,0,0,0]	[4554,204,801,2056]	[1,4,0,3]	[7076,2071,3439,7256]	5.9724e-02	8.0693e-01	8.6177e-01
AC003001.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC003002.1	[1,0,0,0]	[4555,204,801,2056]	[3,2,0,0]	[7074,2073,3439,7259]	5.4065e-02	8.1614e-01	4.4921e-01
AC003002.2	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
AC003005.1	[0,0,0,0]	[4556,204,801,2056]	[2,0,1,0]	[7075,2075,3438,7259]	3.5410e-01	5.5180e-01	0.0000e+00
AC003006.1	[3,0,0,0]	[4553,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	6.5596e-03	9.3545e-01	1.4904e+00
AC003071.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
AC003072.1	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
AC003098.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC003669.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC003956.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,0]	[7077,2075,3438,7259]	6.3157e-01	4.2678e-01	0.0000e+00
AC003991.2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,4]	[7077,2075,3439,7255]	2.1314e-01	6.4432e-01	0.0000e+00
AC004000.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC004039.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC004054.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC004076.1	[1,0,0,0]	[4555,204,801,2056]	[0,0,1,0]	[7077,2075,3438,7259]	1.6577e-02	8.9755e-01	3.2203e+00
AC004080.3	[1,0,0,0]	[4555,204,801,2056]	[2,1,0,2]	[7075,2074,3439,7257]	3.7179e-02	8.4710e-01	4.6282e-01
AC004080.6	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
AC004217.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC004217.2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC004223.3	[3,0,1,1]	[4553,204,800,2055]	[2,0,1,3]	[7075,2075,3438,7256]	7.5108e-01	3.8614e-01	2.0905e+00
AC004224.2	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,0]	[7077,2075,3438,7259]	6.3157e-01	4.2678e-01	0.0000e+00
AC004231.3	[1,0,0,0]	[4555,204,801,2056]	[1,3,0,0]	[7076,2072,3439,7259]	2.7867e-01	5.9757e-01	9.2148e-01
AC004233.2	[6,0,0,3]	[4550,204,801,2053]	[9,1,0,4]	[7068,2074,3439,7255]	2.0222e-01	6.5293e-01	1.3319e+00
AC004241.1	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.4786e-01	7.0059e-01	7.7662e-01
AC004253.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC004381.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC004381.2	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
AC004467.1	[1,0,0,0]	[4555,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	1.1103e-03	9.7342e-01	6.7963e+00
AC004477.2	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.7936e-01	5.3795e-01	9.9345e-01
AC004490.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC004528.1	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	4.5347e-01	5.0069e-01	Infinity
AC004593.3	[1,0,0,0]	[4555,204,801,2056]	[2,2,0,0]	[7075,2073,3439,7259]	2.4303e-02	8.7612e-01	6.3211e-01
AC004594.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC004672.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC004687.2	[0,0,0,2]	[4556,204,801,2054]	[1,1,0,3]	[7076,2074,3439,7256]	6.0905e-03	9.3779e-01	1.3634e+00
AC004691.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC004691.2	[0,1,0,0]	[4556,203,801,2056]	[2,4,0,1]	[7075,2071,3439,7258]	2.2224e-03	9.6240e-01	6.6804e-01
AC004754.1	[5,0,0,1]	[4551,204,801,2055]	[4,1,1,3]	[7073,2074,3438,7256]	2.1610e-01	6.4203e-01	1.5245e+00
AC004765.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC004771.1	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
AC004771.2	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC004824.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AC004832.1	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
AC004832.3	[0,0,0,0]	[4556,204,801,2056]	[1,2,0,1]	[7076,2073,3439,7258]	1.4813e-01	7.0033e-01	0.0000e+00
AC004846.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
AC004846.2	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.4786e-01	7.0059e-01	7.7662e-01
AC004865.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC004884.2	[2,0,0,0]	[4554,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	1.0781e+00	2.9913e-01	Infinity
AC004906.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AC004922.1	[1,0,0,0]	[4555,204,801,2056]	[4,1,0,2]	[7073,2074,3439,7257]	6.0535e-01	4.3654e-01	2.8992e-01
AC004951.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AC004997.1	[1,0,0,0]	[4555,204,801,2056]	[1,1,0,4]	[7076,2074,3439,7255]	5.2475e-02	8.1881e-01	4.4596e-01
AC005006.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
