gene_set	OR	p_value	test_statistic
ASD	1.2346e+00	1.2670e-01	2.3324e+00
NDD	1.3055e+00	7.4404e-05	1.5695e+01
SCHEMA	1.6814e+00	7.8724e-04	1.1271e+01
gnomAD-constrained	1.2061e+00	4.8512e-09	3.4248e+01
