ASD	PREDICTED_INTRONIC	1.24724966254566	0.908432922984452	1.72131758443374	0.165423447411674	103	69	6233	5208	5000	FALSE	FALSE
ASD	PREDICTED_LOF	1.93129560417533	1.04685121764226	3.72293491898947	0.0268984584056376	37	16	6299	5261	100	FALSE	FALSE
ASD	PREDICTED_PROMOTER	0.832849050913624	0.0106155603099882	65.3561894136531	1	1	1	6335	5276	100	FALSE	FALSE
ASD	PREDICTED_UTR	2.66907966538732	0.93354523759562	9.32461139833853	0.0500925373834889	16	5	6320	5272	100	FALSE	FALSE
NDD	PREDICTED_INTRONIC	1.39044931562764	1.16200702423257	1.66688687962919	0.000225209807444137	342	208	5994	5069	5000	FALSE	FALSE
NDD	PREDICTED_LOF	1.31337809055942	1.01772443067497	1.70111265359129	0.034364810474769	163	104	6173	5173	100	FALSE	FALSE
NDD	PREDICTED_PROMOTER	1.22227784533701	0.605233887588464	2.5361713303032	0.621442480749179	22	15	6314	5262	100	FALSE	FALSE
NDD	PREDICTED_UTR	1.28740433923756	0.82470102363401	2.03313773065624	0.285286266564316	54	35	6282	5242	100	FALSE	FALSE
pLI-constrained	PREDICTED_INTRONIC	1.67975962160595	1.55188991132168	1.81872569419711	7.43284254315125e-39	2490	1468	3846	3809	5000	FALSE	FALSE
pLI-constrained	PREDICTED_LOF	1.62510638064538	1.44899806902307	1.82395552870722	1.74256064731259e-17	961	523	5375	4754	100	FALSE	FALSE
pLI-constrained	PREDICTED_PROMOTER	1.22519522980241	0.965724693317078	1.55861106678954	0.0900901964945151	180	123	6156	5154	100	FALSE	FALSE
pLI-constrained	PREDICTED_UTR	1.64270203773688	1.38464013397702	1.95310801207477	3.99315908671199e-09	417	217	5919	5060	100	FALSE	FALSE
SCHEMA	PREDICTED_INTRONIC	1.11085976689091	0.577319863660277	2.17498367633132	0.758981141227258	24	18	6312	5259	5000	FALSE	FALSE
SCHEMA	PREDICTED_LOF	1.52776849131389	0.517497052208094	5.03468111042378	0.4708675936187	11	6	6325	5271	100	FALSE	FALSE
SCHEMA	PREDICTED_PROMOTER	3.33250876375851	0.329669055094535	164.042667463751	0.385247404727172	4	1	6332	5276	100	TRUE	FALSE
SCHEMA	PREDICTED_UTR	6.66921322645673	0.893674827667056	295.640746075085	0.0460704589978113	8	1	6328	5276	100	FALSE	FALSE
