Category	OR	CI_low	CI_high	pval	rarevar_case	rarevar_control	novar_case	novar_control
Constrained Genes (3570)	1.2053085545348	1.10891778909453	1.31040656791232	9.22128724505615e-06	2591	1184	5158	2841
Schizophrenia (32)	1.53958455724554	1.05984067018076	2.27911385989	0.020714847386828	115	39	7634	3986
Autism Spectrum Disorder (72)	1.3323268991012	0.934023898221512	1.92910223186847	0.1110280422182	115	45	7634	3980
Neurodevelopmental Disorder (373)	1.35719502074039	1.14526651427726	1.61308718949426	0.000296370583998773	516	201	7233	3824
All genes (18356)	1.02126149645545	1.00848141666946	1.03420353305754	0.00105848633302386	71851	36544	7749	4025
