Category	OR	CI_low	CI_high	pval	rarevar_case	rarevar_control	novar_case	novar_control
Constrained Genes (3570)	1.33350726364002	0.502651746334299	3.3755721542898	0.506212936297049	7736	4016	13	9
Schizophrenia (32)	0.944148479271555	0.861940664156667	1.03454416034782	0.211993694778333	1748	949	6001	3076
Autism Spectrum Disorder (72)	1.09092059883391	1.00942089110979	1.17905933258423	0.0269492326324052	3454	1708	4295	2317
Neurodevelopmental Disorder (373)	1.05531922056638	0.932722926623436	1.19300018895308	0.383972169505842	6914	3570	835	455
All genes (19369)	1.00310238844726	0.998387685810258	1.00783935540229	0.197514642000812	507314	262695	7749	4025
