Category	OR	CI_low	CI_high	pval	rarevar_case	rarevar_control	case_total	control_total
Constrained Genes (3570)	1.1530178621551	1.08426194239496	1.22613377678109	5.55339132879418e-06	3272	1474	7749	4025
Schizophrenia (32)	1.37430367359229	0.985965138705977	1.9155957072966	0.059503210258212	127	48	7749	4025
Autism Spectrum Disorder (72)	1.28773336344475	0.921045743423991	1.80040701253788	0.138099849913678	119	48	7749	4025
Neurodevelopmental Disorder (373)	1.36561616007396	1.16628673805692	1.59901286347659	0.000101713209538667	560	213	7749	4025
All genes (18356)	1.02126149645545	1.00848141666946	1.03420353305754	0.00105848633302386	71851	36544	7749	4025
